site,lat,lon
Gilead Sciences La Verne Rooftop Solar,34.09623,-117.781867
GKS Solar,36.248333,-76.501944
Gladstone Farm,35.213491,-79.557136
Gliden (Op Zone),36.30161,-76.60357
Gold Mine,34.0726,-82.2263
"Golden Field Solar III, LLC",34.847,-118.395
"Golden Fields Solar I, LLC",34.839012,-118.386843
Golden Springs Building C-1,33.914167,-118.053611
Golden Springs Building D,33.911944,-118.052222
Goldenrod Solar,33.962884,-79.562891
Google Bayhill Solar PV and Microgrid,37.626915,-122.428286
Google Moffett Park Solar Project,37.405313,-122.017498
Government Plaza Solar,36.278,-119.317
Graham Solar Center LLC,34.309722,-79.014444
Grandy PV 1,36.233611,-75.880833
Granger,33.2704,-117.0588
Graniterock Quarry,36.878164,-121.6028
Granville Solar PV Power Project,36.411667,-78.593889
Grassland 1&2 Solar Project,38.500278,-121.694167
Grassland 3&4 Solar Project,38.500278,-121.694167
Gray Fox Solar LLC,34.862599,-79.140714
"Great Valley Solar Portfolio Holdings, L",36.581182,-120.37957
"Great Valley Solar Portfolio Holdings, LLC",36.581182,-120.37957
Green Acres Solar Facility 1,38.282021,-121.464676
Green Acres Solar Facility 2,38.28357,-121.461264
Green Beanworks B PV,34.688042,-117.989541
Green Beanworks C PV,34.597,-117.931
Green Beanworks D PV,34.654976,-118.08215
Green Farm,35.831667,-77.269722
Gridley Main,39.373333,-121.684167
Gridley Main Two,39.373333,-121.681667
"Grissom Solar, LLC",36.23891,-77.897552
Grossmont College,32.816578,-117.006302
Grossmont HS Solar Project,32.816542,-116.999589
Grossmont-Cuyamaca-Cuyamaca Col. Solar &,32.7466,-116.9389
Grove Solar,35.16922,-77.1182
Guadalupe Solar Farm,37.269039,-121.861079
Guernsey Solar Station,36.163889,-119.650556
"Gunsight Solar, LLC",33.761136,-81.066705
Gutenberg Solar,36.486428,-77.534825
Haley Solar,33.023402,-81.29337
Halifax,36.441944,-77.711389
Halifax (NC),36.441944,-77.711389
Hall Solar Energy Storage,34.799,-77.947
Hamlet Solar Energy Storage,34.846047,-79.734007
Hampton Solar 2,32.881,-81.136
Hampton Solar I,32.879,-81.133
Hanford 1 and 2,36.306667,-119.629167
"Hanover Solar, LLC",34.800947,-77.213772
Happy Solar,35.3965,-78.5108
"Harding Solar, LLC",35.384636,-77.611614
"Hardison Farm Solar, LLC",35.83079,-77.02194
Harrell's Hill Solar Center LLC,35.211944,-78.100833
Harris Farms Solar Facility,36.253184,-120.229268
"Harrison Solar, LLC",34.984262,-78.524535
"Harts Mill Solar, LLC",35.9,-77.64
"Harvest Beulaville, LLC",34.90389,-77.784167
Hawtree Solar,36.533,-78.105
"Hayes Solar, LLC",36.388216,-80.737407
Haynes Farm,35.525833,-81.235278
Haywood Farm Solar,35.343,-79.915
"Haywood Farm Solar, LLC",35.343,-79.915
Hayworth Solar,35.325278,-118.878611
"HCE Johnston I, LLC",35.560002,-78.59453
HCE Moore I,35.13432,-79.419519
Heber Solar,32.7125,-115.540556
Hecate Energy Beacon Solar 1,35.269444,-118.014444
Hecate Energy Beacon Solar 3,35.253056,-118.014722
Hecate Energy Beacon Solar 4,35.253611,-118.026944
"Hecate Energy West Newberry, LLC",34.249814,-81.648947
Hector Farm,35.376236,-79.909719
Heedeh Solar,34.308744,-78.221475
Heliocentric,34.65434,-117.971004
Hellyer Solar Farm,37.286958,-121.81508
Hemlock Solar,36.469089,-77.597517
Henrietta Solar Project,36.218806,-119.805833
Henry Farm,35.859618,-79.577907
Henry Gibson Solar,34.780905,-79.569574
Henry Miller RD,37.0543,-120.63523
Hertford Solar Farm,36.13026,-76.490915
"Hertford Solar Power, LLC",36.268007,-77.028205
Hesperia,34.435,-117.378056
"Hew Fulton Farm, LLC",34.784039,-79.474542
Hickory,34.802222,-78.009167
High Shoals PV1,35.396478,-81.219144
"Highest Power Solar, LLC",36.12,-78.25
Highland Solar Center LLC,35.363889,-77.451944
Highwater Solar I,35.433889,-77.99
HL Solar,40.373,-120.262
HL Solar (Lassen),40.373,-120.262
Hollister Solar LLC,36.8625,-121.428889
Hollister Wastewater Facility,36.857193,-121.445858
"Holly Swamp Solar, LLC",34.662627,-79.132926
Holstein Plant,34.774167,-79.340833
Hood Farm Solar,35.205,-77.497
"Hood Farm Solar, LLC",35.205,-77.497
Hopewell Friends,35.62845,-79.8727
Horn,34.708889,-118.274167
Hot Springs Energy Storage & Microgrid,35.89071,-82.82513
"Howell Midland Farm, LLC",35.225669,-80.543086
"Hubble Solar, LLC",34.301189,-78.709612
Huntley,33.335583,-80.634174
Huron Solar Station,36.181389,-120.030555
Husky Solar,36.2847,-79.5667
Hutchinson Farm,35.260833,-81.515833
HWY 158 PV,36.423222,-77.073839
HXNAir Solar One,36.348734,-77.631511
IGS KSBD,34.10535,-117.23477
IGS OXR1,34.212521,-119.129688
IGS SBD1,34.038735,-117.38485
IGS SBD2,34.073555,-117.281419
IKEA Tejon 345,34.975278,-118.946944
Imperial Solar Energy Center South,32.663289,-115.658284
Imperial Solar Energy Center West,32.772225,-115.779311
"Imperial Valley Solar Co (IVSC) 2, LLC",33.252222,-115.4975
Imperial Valley Solar Company 1 LLC,33.245833,-115.496667
"Imperial Valley Solar, LLC",32.671099,-115.587265
Improvement Dst No. 4,35.402778,-119.038611
Industry MetroLink PV 1,34.008661,-117.845603
Industry Solar Power Generation Station,34.553056,-117.456944
Industry Solar Power Generation Station 1 LLC,34.553056,-117.456944
Innovative Solar 10,35.473629,-82.890319
"Innovative Solar 14, LLC",35.368889,-82.3575
"Innovative Solar 15, LLC",35.319444,-81.764167
Innovative Solar 16,35.363863,-82.350001
"Innovative Solar 18, LLC",35.378187,-81.795051
Innovative Solar 23,35.259825,-81.419019
"Innovative Solar 26, LLC",35.70974,-81.413308
Innovative Solar 31,34.539425,-78.755394
Innovative Solar 35,35.046,-77.825
"Innovative Solar 35, LLC",35.046,-77.825
Innovative Solar 37,34.838297,-79.943889
Innovative Solar 37 LLC,34.838297,-79.943889
Innovative Solar 42,34.847627,-78.877359
Innovative Solar 44,34.85735,-79.10391
Innovative Solar 46,34.918194,-78.94355
Innovative Solar 47,34.801933,-79.332447
Innovative Solar 48,34.711628,-79.30235
Innovative Solar 54,35.213697,-77.712408
Innovative Solar 55,34.69648,-79.21681
Innovative Solar 59,36.094719,-77.97928
"Innovative Solar 59, LLC",36.094719,-77.97928
Innovative Solar 6,35.6575,-82.710278
Innovative Solar 60,36.091,-77.992
"Innovative Solar 60, LLC",36.091,-77.992
"Innovative Solar 63, LLC",35.39169,-77.620395
Innovative Solar 64,35.041048,-78.329675
Innovative Solar 65,34.7587,-79.5
Innovative Solar 67,34.623309,-78.005377
Intel Folsom,38.645119,-121.172999
Intel Folsom Phase 2,38.643611,-121.163889
Intel Folsom Phase 3,38.645961,-121.162623
IOS II-LAX9,34.09,-117.45
IPC 25 Solar,37.739193,-121.536855
Ironwood Solar LLC,33.565,-114.918056
Ivanhoe Solar,36.3875,-119.255
IVC Solar,32.83186,-115.506629
Jackson Solar Farm,35.75,-77.83
Jacob Solar,36.2922,-79.6214
Jacumba Solar Farm,32.6212,-116.12896
Jakana Solar,35.875278,-77.081111
"Jamesville Road Solar, LLC",35.845354,-76.801491
Jamison Solar Farm,33.57398,-80.837105
"Java Solar, LLC",36.233522,-119.81634
JD Foods - JD Foods,36.70185,-119.74588
Jefferson Solar,34.349567,-80.058122
Jefferson Solar (SC),34.349567,-80.058122
Jersey Holdings,34.564307,-79.037483
Jessamine Solar,34.230544,-79.390606
Jester Solar,35.36118,-77.8861
Kalish Farm Solar,35.308176,-79.720544
Kathleen Solar,35.513769,-78.802384
KDC Solar Madera LLC,36.926,-120.104
Keen Farm,35.426667,-78.399983
Kelford,36.154227,-77.218502
Kelford (Cypress),36.154227,-77.218502
Kelford (Duke),36.148056,-77.211944
"Kelly Solar, LLC",36.391194,-78.449024
Kenansville,34.96,-78.04
"Kenansville Solar 2, LLC",34.957778,-77.981667
"Kenansville Solar Farm, LLC",34.97,-77.976111
Kendall Farm,35.850341,-79.555024
"Kennedy Solar, LLC",35.012282,-78.092185
Kenneth Solar,36.4338,-78.1526
Kern Del Oro,35.297931,-118.980874
Kern Valley SP,35.764049,-119.313756
Kettering Solar 1,34.700278,-118.123611
Kettering Solar 2,34.700278,-118.123611
Kettleman Solar -Centaurus,36.050833,-119.9475
Kettleman Solar Project,38.12139,-121.14122
Kilroy Solar,32.936137,-117.234157
Kingbird A Solar LLC,34.819,-118.432
"Kingbird B Solar, LLC",34.824206,-118.438547
Kings CSG 3 LLC Community Solar,36.24918,-119.8852
Kingsburg Solar,36.505278,-119.540278
Kinston,35.370556,-77.608333
Kinston Davis Farm,35.2184,-77.64259
Kinston Solar,35.351436,-77.472283
Kirkwall Holdings,34.988889,-78.1375
Kohls San Bernardino Solar Facility,34.094695,-117.266831
Kojak Farm,35.79915,-78.102178
KP South Sacramento Hospital Solar,38.46,-121.42
Kroger La Habra,33.922141,-117.939096
L-8 Solar Project,34.654347,-117.973103
La Joya Del Sol,36.678611,-119.7975
Lafayette 2 - Internal Services Dept,34.05,-118.18
"Lafayette Solar I, LLC",35.232396,-81.564248
Lake Elsinore Canopies - Lakeside HS,33.668,-117.383
Lake Herman,38.0971,-122.1417
Lancaster,34.743383,-117.972222
Lancaster Baptist Church,34.695833,-118.058889
Lancaster Dry Farm Ranch B,34.716944,-118.289444
Lancaster Little Rock,34.599444,-117.932778
Lancaster Solar 1,34.715,-118.095
Lancaster Solar 2,34.710556,-118.166111
Lancaster WAD B,34.780192,-118.19333
"Landrace Holdings, LLC",33.723937,-79.091998
"Lane II Solar, LLC",35.39977,-78.05327
Lane Solar,35.395,-78.051
Lang Solar Farm,35.19587,-77.502759
"Langdon Solar Farm, LLC",35.447278,-78.413481
Langley PV1,35.801944,-77.848889
Lanier Solar,34.898889,-77.808889
"Laredo Detention Facility - Solar 2, 3",35.510942,-119.109941
Las Virgenes,34.1265,-118.70404
Las Virgenes Municipal Water District,34.136111,-118.701944
Laurinburg Farm,34.764403,-79.442969
Laurinburg Solar,34.756481,-79.430243
"Laurinburg Solar, LLC (Heelstone)",34.707644,-79.29538
Lavio Solar,38.194599,-122.663388
"Leggett Solar, LLC",36.058,-77.623
Lemoore 1,36.257938,-119.798139
Lemoore West,36.30018,-119.82142
Lenoir Farm,35.331667,-77.666389
Lenoir Farm 2,35.350081,-77.475106
"Lerdo Detention Facility - Solar 2, 3",35.510942,-119.109941
Lewiston Solar,36.141111,-77.211111
Liberty HS Solar Project,35.364408,-119.127496
"Lick Creek Solar, LLC",36.283056,-80.128265
Lillington Solar,35.368,-78.801
Lily Solar,33.094931,-81.434842
"Limelight Solar I, LLC",34.94861,-81.987777
Limelight Solar II LLC,34.99389,-81.87819
"Limelight Solar III, LLC",34.956394,-81.979834
"Lincoln Solar, LLC (NC)",35.379505,-81.817582
Lindberg FIeld Solar,32.729238,-117.207718
Lindberg Field Solar 2,32.729444,-117.205083
Lindsay Solar,36.211944,-119.133889
Little Bear 3,36.716,-120.415
Little Bear 4,36.716,-120.415
Little Bear 5,36.716,-120.415
"Little Bear Solar 1, LLC",36.716,-120.415
Little River PV 1,35.538889,-79.804167
Little Rock Pham Solar,34.600231,-117.94751
Littlefield Solar Center LLC,35.433889,-77.438056
Lockhart Solar PV II,35.04351,-117.3489
"Lockhart Solar PV, LLC",35.0308,-117.3563
Lone Oak,36.270566,-119.518202
Lone Star Solar,33.648767,-80.639122
Lone Valley Solar Park I LLC,34.398059,-116.865517
Lone Valley Solar Park II LLC,34.408333,-116.8625
"Long Farm 46 Solar, LLC",36.467021,-77.617957
Long Henry Solar,35.195302,-77.895125
"Longboat Solar, LLC",34.541,-117.061
Lost Hills Oilfield,35.65,-119.85
Lost Hills/Blackwell,35.62,-119.85
Lotus,36.13621,-79.53957
Lowe Solar Energy Storage,35.718429,-79.909481
Luciana,35.823716,-119.062255
Ludie Brown Solar Energy Storage,34.831,-77.77
"Lux Solar, LLC",35.241145,-81.429433
Luz Solar,34.370203,-80.0273
Ma,34.695278,-118.0625
Maclay Solar Project,34.319722,-118.430833
"Madelyn Solar, LLC",34.768333,-117.323611
Madera 1 PV,37.056468,-120.167021
Madera Community Hospital,36.941111,-120.046667
"Magdaline Solar, LLC",34.12784,-80.14985
Maiden Creek Solar Power Plant,35.593,-81.167
Malech Solar Farm,37.228736,-121.738616
Manning PV 1,36.119167,-79.521389
Manteca Land PV,37.84013,-121.216191
Manway Solar Farm,34.745833,-78.429444
Mariani Packing Vacaville Solar,38.40008,-121.96366
"Maricopa West Solar PV, LLC",35.115278,-119.317778
Marin Clean Energy Solar One,37.945296,-122.377202
Marina South,33.717993,-118.275617
Mariposa Solar Center LLC,35.373889,-81.086944
Market Farm,36.390278,-79.647222
Marshall Solar,34.371908,-80.021614
Marshville Farm,34.988889,-80.383611
Martin Creek Farm LLC,36.286389,-78.386111
"Martins Creek Solar NC, LLC",35.020415,-84.015676
"Maverick Solar 4, LLC",33.7,-115.38
"Maverick Solar 6, LLC",33.7,-115.38
"Maverick Solar 7, LLC",33.7,-115.38
"Maverick Solar, LLC",33.7,-115.38
"Maxton Solar, LLC",34.71472,-79.31463
Mayberry Solar LLC,36.476667,-80.601111
MC1 Solar,35.8748,-77.1397
McCallum Farm,34.543889,-79.30219
"McGoogan Farm, LLC",34.888736,-79.062708
McGrigor Farm Solar,35.019771,-78.350088
McKenzie Farm,34.323889,-78.691944
McLean Homestead,34.781934,-79.497753
Meadowbrook Solar Farm,35.55543,-80.38589
Meadowlark Solar,35.551944,-79.023055
Meadows PV 1,35.836944,-77.126944
Medline Ind. Phase 2 Tracy,37.734761,-121.508945
"Meeks Solar, LLC",35.815556,-77.291111
Melinda Solar,36.2487,-78.3475
Merced 1 PV,36.989475,-120.878081
Merced Solar LLC,37.267778,-120.484444
Meridian Vineyards,35.670278,-120.566944
Meriwether Farm,36.288911,-78.604589
Metro Support Services Center Solar,34.0578,-118.229722
Midlands,33.648979,-80.942818
Midway Green Solar,34.421,-81.393
Midway Solar Farm 1,33.176627,-115.572788
Midway Solar Farm II,33.162056,-115.531694
Midway Solar Farm III,33.154761,-115.544918
Mile Farm,36.230561,-78.949586
"Mill Pond Solar Farm, LLC",34.307121,-78.701463
"Mill Pond Solar, LLC",35.829426,-76.790764
Millers Chapel Solar,35.360306,-77.898055
Millikan Farm,35.81771,-79.771085
Mills Anson Farm,34.968056,-79.935844
Milo Solar,36.148889,-79.348889
Minnie Solar,35.948056,-79.361944
Mira Loma,34.013056,-117.5375
Misenheimer Farm,35.468611,-80.293611
Misenheimer Solar LLC,35.478126,-80.300126
Mission Solar LLC,37.267778,-120.4825
"Mitchell Solar, LLC",34.765,-117.323611
Mocksville Farm,35.878611,-80.541944
Mocksville Solar,35.833889,-80.574444
Modlin Solar Farm,35.85028,-77.11023
Moffett Solar Project,32.620653,-80.995994
"Mohea Solar Energy Center, LLC",35.08849,-81.62438
Moncure Farm LLC,35.568333,-79.0325
Monroe Moore Farm,34.971944,-80.601944
Monroe Solar Facility,34.929945,-80.625615
Monterey Regional Water Pollution Contro,36.721111,-121.787778
Monterey Regional Water Pollution Control Agency,36.721111,-121.787778
Montgomery Solar LLC,35.344444,-79.768333
Moonlight Packing - Phase 2,36.585794,-119.469986
Moore Solar,36.38427,-79.48112
Moore Solar Farm,36.273192,-79.759203
Moorings Farm,35.305833,-77.829167
Moorings Farm 2,35.305747,-77.828889
"Moorings Farm 2, LLC",35.305747,-77.828889
Morelos del Sol,35.731362,-119.818712
"Morgan Farm, LLC",36.095572,-78.151987
Morgan Lancaster 1,34.6608,-118.0836
Morgan's Corner,36.421064,-76.364244
Morning View,35.546315,-79.742842
Mount Olive Farm,35.201944,-78.081667
Mount Olive Solar,35.18,-78.098
Mount Signal Solar Farm II,32.6685,-115.6292
Mount Signal Solar Farm V,32.678805,-115.56721
Mountain View Ind Park 1-sline001,34.050209,-117.460361
Moyer Solar,36.419826,-79.907098
Mt Olive Farm 2,35.218056,-78.069722
Mt Olive Solar 1,35.181111,-78.096944
"Mule Farm Solar, LLC",35.388245,-78.540283
Murdock Solar,35.6633,-78.5206
"Murphy Farm Power, LLC",34.999167,-84.157254
Mustang Solar,35.416167,-79.57597
Mustang Two,36.216806,-119.896389
Nash 58 Farm,36.047222,-78.030833
Nash 64 Farm,35.949444,-78.0925
Nash 97 Solar 2,35.8503,-78.2162
"Nash 97 Solar, LLC",35.84927,-78.21152
"Nashville Farms, LLC",36.034354,-78.010611
National Raisin,36.624512,-119.673088
Navajo Solar Power Generation Station 1,34.551111,-117.191111
Navajo Solar Power Generation Station 1 LLC,34.551111,-117.191111
Naval Air Weapons Station China Lake,35.68771,-117.68137
NC 102 Project LLC,35.2925,-80.4975
Neisler Street Solar,35.289757,-81.568878
Neuse River Solar Farm,35.714444,-78.498889
New Bern Farm,35.209564,-77.056725
Newton Grove,35.251628,-78.367439
NextEra Westside PV,36.381775,-120.134486
Niagara Bottling - Rialto,34.126094,-117.418451
Niagara Bottling Stockton,37.894817,-121.24891
Nick Solar,35.991111,-79.548056
Nickel 1 Solar Facility,35.647295,-119.716512
Nickelson Solar 2,34.7457,-77.988
"Nickelson Solar, LLC",34.747103,-77.987375
Nicolis Solar PV Plant,35.835833,-119.056111
Nitro Solar,35.486944,-78.313889
NLP Granger,33.2704,-117.0588
Nordhoff Place,34.236667,-118.565833
North 301 Solar,36.213,-77.624
North Bay Solar 1,38.300556,-121.966389
North Carolina Solar Bethea I,34.704722,-79.525833
North Carolina Solar III LLC,34.766667,-79.559722
North Juvenile Detention Center Solar,36.461,-119.32
North Kern 1,35.4691,-119.169
North Kern 2,35.4678,-119.1536
North Kern 3,35.5768,-119.1536
North Kern State Prison Phase II,35.780407,-119.30875
North Lancaster Ranch,34.719538,-118.31301
"North Nash Farm, LLC",36.070336,-78.038319
North Palm Springs 1A,33.924167,-116.593333
North Palm Springs 4A,33.909722,-116.5625
North Rosamond Solar LLC,34.862,-118.38
North Star Solar,36.73,-120.41
Nunn,34.509167,-117.154444
"Oak Trail Solar, LLC",36.5044,-76.1887
Oakboro Farm,34.795833,-79.538333
Oakley Solar Project,38.001667,-121.747778
Oakwood Solar,36.090512,-79.233185
Oberon II Solar Project,33.72899,-115.38238
Oberon Solar Project,33.72899,-115.38238
Occidental College Solar Project,34.1283,-118.206903
Ocotillo Wells,33.074673,-116.091228
Odyssey Solar,33.79,-81.266
"Ogburn Solar, LLC",34.66565,-80.39065
OK Produce Fresno Carport,36.723488,-119.774411
Old Caroleen Solar Farm,35.297715,-81.812045
Old Catawba PV 1,35.711667,-81.134167
Old Cedar Solar Energy Storage,35.713,-79.788
Old Pageland Monroe Road Solar Farm,34.95233,-80.48191
Old Wire Farm,34.817836,-79.513928
Oltmans SCE at Champagne,34.043889,-117.531111
Oltmans SCE at Jurupa,34.05,-117.596111
Omtanke Solar,33.133705,-80.253716
One Ten Partners PV,34.615622,-117.936594
Open Sky Dairy,36.459935,-120.029831
Open Sky Ranch Inc,36.46052,-120.030549
Orange Coast College PH2 Solar Project,33.672565,-117.91246
Organ Church Solar,35.525584,-80.451125
Orion Solar I,35.150694,-118.875
Orion Solar II,35.150694,-118.875278
Oro Loma,36.876847,-120.667608
Otarre Solar Park,33.9324,-81.0514
Otis Elevator Company Solar,34.23933,-79.79227
Otoe Solar Power Generation Station 1 LL,34.545,-117.191944
Otoe Solar Power Generation Station 1 LLC,34.545,-117.191944
Ouchchy PV1,36.084097,-79.24481
Overhill Solar,34.98247,-78.319062
Overman Solar,35.299225,-78.077183
Owen Solar,35.586111,-81.315278
Owens Valley Solar Project 11,36.275144,-118.012151
P66 Rodeo Solar,38.035,-122.247
PAC Aviation Solar,34.214543,-118.500571
Pacific Ethanol Madera Solar Array,36.916111,-119.97138
Page Solar,35.533191,-78.639456
Palmetto Plains,33.340179,-80.697336
Pamlico Partners Solar,35.501111,-76.87
"Panda Solar NC 1, LLC",34.436698,-79.090206
"Panda Solar NC 10, LLC",34.909631,-78.912997
"Panda Solar NC 11, LLC",34.908589,-78.912481
"Panda Solar NC 2, LLC",34.4384,-79.0847
"Panda Solar NC 3, LLC",34.631814,-79.090672
"Panda Solar NC 4, LLC",34.519408,-78.52434
"Panda Solar NC 5, LLC",35.047153,-78.810478
"Panda Solar NC 6, LLC",34.353586,-78.7874
"Panda Solar NC 7, LLC",35.121181,-78.205464
"Panda Solar NC 8, LLC",35.420931,-79.705958
"Panda Solar NC 9, LLC",34.910856,-78.9136
Panoche Valley Solar Farm,36.627,-120.879
Park Meridian #1,33.896111,-117.283611
Partin Solar,36.26801,-80.821936
Paso Robles - Municipal Airport,35.679378,-120.635889
Pasquotank,36.264722,-76.306111
Pate Farm,34.816667,-79.199444
PCIP Solar,36.3125,-78.9675
PCSP3 Airport,36.288056,-78.986111
Peake Road,36.271819,-78.653997
"Pecan Grove Solar, LLC",35.067661,-77.185206
Pecan PV1,34.909167,-79.829444
Pecan Solar,36.481008,-77.481164
Pelzer Solar I,34.657642,-82.501964
Penny Hill Solar,35.759,-77.513
Peony Solar,33.502,-81.254
"Perkins Solar, LLC",36.43741,-78.97198
PFMG Solar Grossmont Helix LLC,32.753281,-117.035241
"PG Solar, LLC",35.167164,-78.017811
Phelan Pinon Hills CSD Solar,34.57654,-117.58281
Phelps 158 Solar Farm,36.442636,-77.161514
"Phobos Solar, LLC",35.882921,-78.154961
Pierce College,34.183611,-118.574722
Pikeville Farm,35.478155,-77.979166
"Pilot Mountain Solar, LLC",36.27066,-80.37635
Pine Tree Solar Project,35.229635,-118.1957
"Pine Valley Solar Farm, LLC",35.21812,-79.529333
Pinesage,35.220823,-79.51909
Pinson Solar Farm,34.72,-82.06
Pivot Energy PPA 22,36.347335,-119.395705
Pleasant Hill PV1,36.53115,-77.550375
Plott Hound Solar,35.138,-77.092
Plymouth Solar LLC,35.875,-76.710556
Polk Farm,34.922572,-79.654447
Pollocksville Solar,34.998,-77.219
POM Beverage Solar,36.39026,-119.35792
POM Juice Solar,36.392479,-119.351133
POM Plant 2,36.656664,-119.592219
Port of LA Solar FiT Project,33.727977,-118.280032
"Portal Ridge Solar B, LLC",34.71647,-118.2821
"Portal Ridge Solar C, LLC",34.71412,-118.2739
Porter Solar,35.2167,-77.0743
Porterville 6 and 7,36.05,-119.02
Porterville Solar,36.102778,-119.039722
Powatan Road Solar,35.602063,-78.372088
Powhatan Solar Power Generation Station,34.496944,-117.145
Powhatan Solar Power Generation Station 1 LLC,34.496944,-117.145
Prairie,34.239244,-118.583575
Preferred Freezer San Leandro,37.711995,-122.150665
Princeton,35.504444,-78.192222
Progress Manis I,34.756389,-79.447222
"Progress Solar 1, LLC",35.948056,-78.250833
"Progress Solar II, LLC",34.476111,-79.0975
"Progress Solar III, LLC",34.714167,-79.353889
Prologis L.P,37.725044,-121.529783
PSREC/SIAD Solar,40.15006,-120.123352
Pumpjack Solar I,35.305556,-119.6225
Putah Creek Solar Farm,38.521111,-121.993889
"PVN Milliken, LLC",34.038433,-117.565802
Quarter Horse Solar,34.437,-77.642
Quincy Solar (NC),35.0717,-78.8078
Quinto Solar PV Project,37.130278,-121.052222
QVC Inc,35.9222,-77.6731
"Rabbitbrush Solar, LLC",34.83,-118.32
Raceway Solar & Storage,34.842388,-118.286187
Radiance Solar 4,34.665556,-118.288056
Radiance Solar 5,34.665556,-118.286944
Raeford Farm,34.968889,-79.211944
Railroad Farm,34.82,-78.970833
Railroad Farm 2,34.807903,-78.950494
"Railroad Solar Farm, LLC",34.68056,-79.185
Ramona 1,33.012222,-116.875
Ramona 2,33.012222,-116.875
Ramona Solar Energy,33.018486,-116.860713
"Ramp Solar, LLC",35.416437,-77.918748
Rams Horn Solar Center LLC,35.64295,-77.31654
"Ranchland Solar, LLC",36.472591,-76.154089
Rancho Cordova Medical Offices,38.576571,-121.291035
Rancho Cucamonga Dist #1,34.100278,-117.552778
"Rancho Seco Solar II, LLC",38.346814,-121.119839
"Rancho Seco Solar, LLC",38.339857,-121.114494
"Rankin Solar Center, LLC",34.23453,-79.655149
Ray Wilson Solar,35.933,-80.376
RB Inyokern Solar WDAT 1203 (CSG),35.655806,-117.810322
RB Inyokern Solar WDAT 1281 (CSG),35.659913,-117.810322
RCWD PV Project,33.5226,-117.1815
"RE Adams East, LLC",36.6175,-120.290833
RE Astoria,34.844226,-118.458466
RE Astoria 2,34.836649,-118.480204
RE Barren Ridge 1,35.20473,-118.06875
RE Bruceville 1 LLC,38.3475,-121.412777
RE Bruceville 2 LLC,38.3475,-121.412777
RE Bruceville 3 LLC,38.3475,-121.412777
RE Camelot LLC,35.026667,-118.185556
RE Columbia 3 LLC,35.024722,-118.164167
"RE Columbia Two, LLC",35.026667,-118.185556
RE Dillard 1 LLC,38.468611,-121.181944
RE Dillard 2 LLC,38.466111,-121.177778
RE Dillard 3 LLC,38.461944,-121.180278
RE Garland,34.825267,-118.524989
RE Garland A,34.821453,-118.497406
RE Gaskell West 2 LLC,34.834944,-118.551181
RE Gaskell West 3 LLC,34.834944,-118.551181
RE Gaskell West 4 LLC,34.827873,-118.568178
RE Gaskell West 5 LLC,34.834944,-118.551181
RE Kammerer 1 LLC,38.365053,-121.381101
RE Kammerer 2 LLC,38.365053,-121.381101
RE Kammerer 3 LLC,38.365053,-121.381101
"RE Kansas Solar, LLC",36.247778,-119.833889
RE Kansas South LLC,36.226111,-119.834167
"RE Kent South, LLC",36.226111,-119.905278
RE McKenzie 1 LLC,38.302594,-121.295819
RE McKenzie 2 LLC,38.302594,-121.295819
RE McKenzie 3 LLC,38.302594,-121.295819
RE McKenzie 4 LLC,38.302594,-121.295819
RE McKenzie 5 LLC,38.302594,-121.295819
RE McKenzie 6 LLC,38.302594,-121.295819
RE Mustang LLC,36.221667,-119.903056
"RE Old River One, LLC",35.223333,-119.088889
RE Rosamond One LLC,34.9,-118.246944
RE Tranquillity,36.581365,-120.40447
RE Victor Phelan Solar One LLC,34.51231,-117.47753
RE-VFO LLC,36.353675,-119.400823
"Red Hill Solar Center, LLC",36.404382,-78.141105
"Red Oak Solar Farm, LLC",35.993015,-77.933518
"Red Toad 1425 A Powatan Road, LLC",35.604208,-78.370875
"Red Toad 4451 Buffalo Road, LLC",35.557397,-78.297336
"Red Toad 5840 Buffalo Road, LLC",35.572873,-78.302297
Redcrest Solar Farm,35.321944,-118.812778
Redmon Solar Farm LLC,35.710833,-80.665833
Redwing Solar,34.274414,-79.887503
Redwood 4 Solar Farm,35.314198,-118.81192
Reedley Community College Solar,36.60563,-119.4577
Regulus Solar Project,35.3,-118.851944
Renew Solar ABC Sacramento LLC,38.39945,-121.29319
Resurgence Solar,35.00656,-117.54484
Resurgence Solar II,35.00656,-117.54484
Richardson Solar,33.27774,-81.35173
"Richlands Solar, LLC",34.784644,-77.637943
Ridgeback,35.86546,-79.57982
Ridgeland Solar Project,32.465,-80.961
Rio Bravo Solar 1 LLC,35.416111,-119.6825
Rio Bravo Solar II LLC,35.4225,-119.629167
River Ranch Dairy,36.249006,-119.582893
"River Road Solar, LLC",36.351,-76.842
River Solar,34.107849,-80.128107
RMQ 1 and 2,35.9222,-77.6731
Robert O Schulz Solar Farm,37.8583,-120.8917
Robin Solar,35.264418,-78.081389
Rock Farm,34.965556,-79.609722
"Rockingham Solar, LLC",34.980661,-79.603732
Rockwell Solar LLC,35.541667,-80.474722
Rodeo Solar C2,34.713333,-118.289444
Rodeo Solar D2,34.713333,-118.289444
"Roper Farm, LLC",35.187475,-81.440717
Rose Acre Solar Energy Storage,35.637337,-76.535976
Rose Hill,34.823889,-77.969722
Rosewood Solar,35.4375,-78.10709
Roxboro Farm,36.4797,-78.917364
"Roxboro Solar Farm, LLC",36.326821,-78.622242
Royal Solar,35.216,-78.689
