site,lat,lon
Bay Branch Solar,35.4745,-77.1191
Bay Tree,34.70414,-78.393358
Bayboro Solar Farm,35.148339,-76.810226
"Bayshore Solar A, LLC",34.667817,-118.298089
"Bayshore Solar B, LLC",34.678305,-118.302649
"Bayshore Solar C, LLC",34.681338,-118.314087
BBARWA,34.267795,-116.815428
BCE Los Alamitos 1,33.7899,-118.0639
BCE Los Alamitos 2,33.7841,-118.0509
Beacon Solar Plant Site 2,35.265833,-117.999167
Beacon Solar Plant Site 5,35.248889,-118.034444
Beaker,35.597904,-77.609438
Bear Creek Solar,35.540344,-79.449053
Bear Creek Solar (CA),38.136389,-121.148889
Bear Creek Solar (Lodi),38.136389,-121.148889
Bear Creek Solar (NC),35.540344,-79.449053
Bearford Farm Solar Project,34.61,-77.924167
Bearford Solar II,34.611944,-77.928889
BearPond Solar Center LLC,36.276111,-78.377222
"Beaufort Solar, LLC",35.456,-77.134
Beckwith Solar,34.151927,-78.89158
Beetle Solar,35.1785,-81.665
Belafonte,35.161492,-78.090148
Bell Bay Solar Farm,33.667675,-78.917988
Belwood Farm,35.47,-81.508333
"Benson Solar, LLC",35.3962,-78.56223
Benthall Bridge PV 1,36.42,-77.100278
Beringer,38.510833,-122.479722
Bernhardt Furniture Solar Farm,35.84995,-81.540861
Berrenda Mesa Water District,35.613342,-119.866763
Berry Road Solar,34.639249,-82.328691
Beth,35.975586,-79.618368
"Bethel Price Solar, LLC",35.794722,-77.381111
Bethel Solar,35.794328,-77.384542
Beulah Solar,33.945207,-81.571162
Beulaville,34.9,-77.78
"BG Stewart Solar Farm, LLC",34.970486,-80.389622
Big Bear,34.015287,-118.192851
Big Boy,36.07767,-79.633767
"BigBeau Solar, LLC",34.907041,-118.344077
Bio-Rad,38.022486,-122.273663
Birch Solar,34.267992,-79.868581
Birch Solar (SC),34.267992,-79.868581
Biscoe Solar LLC,35.383889,-79.770278
Bishop Ranch - BR 1-Y,37.76217,-121.9579
Bishop Ranch - BR 8-P,37.76819,-121.9666
Bishop Ranch BR 1-X,37.759761,-121.955956
"Bishopville Solar II, LLC",34.2081,-80.22832
"Bizzell Church Solar 1, LLC",35.549401,-78.179859
Bizzell Church Solar 2,35.544405,-78.177204
Blackjack Solar,36.181538,-121.026685
Blacktip Solar,33.900481,-79.755961
"Blackville Solar Farm, LLC",33.342619,-81.258933
Blackville Solar II,33.344319,-81.261774
Blackwell Solar Park,35.612,-119.845
Bladen Solar,34.823522,-78.62345
Bladenboro Farm,34.535,-78.813056
Bladenboro Solar 2,34.536,-78.799
"Bladenboro Solar, LLC",34.547761,-78.817652
Bloom Solar,33.610454,-80.336613
Blue Moon Farms,36.028854,-119.40154
"Blue Skies Solar, LLC",34.98809,-118.908812
Blueberry One,35.313889,-78.154167
Bluebird Solar SC LLC,34.599083,-82.739217
Blythe Mesa Solar II,33.640813,-114.680261
"Blythe Solar 110, LLC",33.68,-114.742
"Blythe Solar II, LLC",33.68,-114.73
"Blythe Solar IV, LLC",33.682,-114.768
BMW Manufacturing Co,34.894167,-82.178333
Bo Biggs Solar,34.58125,-78.94951
Boaz Farm Solar,35.46777,-79.13444
Bob Wiley Detention Center,36.454,-119.312
Bodega Avenue Solar LLC,38.26147,-122.7373
Bolthouse S&P and Rowen Farms Solar,34.5644,-117.6933
Bolton Farm,36.421617,-78.132311
Bond Solar,33.617189,-80.362997
Bondi Solar,35.134054,-77.53849
Bonefish Solar,33.720936,-80.190821
Borden Solar Farm,36.941111,-119.96
Boseman Solar Center LLC,36.008056,-77.81
Boykin PV1,35.113386,-78.750423
Bradley PV1,36.260556,-77.076389
Brantley Solar,35.890485,-78.155153
BRE,36.372546,-78.598507
BRE NC Solar 3,36.383,-78.612
Briarwood,34.08475,-82.10133
Brick City Solar,34.726402,-77.983449
Brighter Future Solar,35.816094,-81.371656
"Broad River Solar, LLC",35.188,-81.751
Broadridge Cogen,38.6183,-121.0564
"Broadridge Solar, LLC",34.522942,-78.957206
Broadway 2 - UC Riverside,33.97034,-117.33101
Broadway 3 - UC Merced 1,37.36448,-120.43108
Broadway 3 - UCSB Lot 38,34.41974,-119.85637
Broadway 4 - Target Shafter,35.46331,-119.18912
"Broadway Road Solar, LLC",35.457056,-79.094164
"Broadway Solar Center, LLC",34.309261,-78.831433
Bryant Road Solar,35.01308,-81.928709
Buckleberry Solar,35.380683,-77.405992
Buddy Solar,35.541944,-80.363333
Buidling L,33.912917,-118.041944
Building F,33.914356,-118.050189
Building G,33.912917,-118.050561
"Bullock Solar, LLC",36.475369,-78.315078
"Bunn Level Farm, LLC",35.308639,-78.774331
"Burgaw Solar, LLC",34.536,-77.911678
Butler-Warner Generation Plant,35.0986,-78.8294
Butte College Main Campus Solar,39.648056,-121.644167
"Buttercup Solar, LLC",34.82354,-77.97275
Byron Highway Solar,37.847114,-121.617308
CA - DGS RFP - RJ Donovan State Prison,35.582,-116.924
CA - Fresno County - Juvenile Hall,36.661113,-119.725975
CA - Madera USD - Madera South HS,36.95,-120.05
CA - Ventura Co CCD - Moorpark College,34.299721,-118.833462
CA Dept of Public Health at Richmond,37.92,-122.344
"CA Flats Solar 130, LLC",35.615573,-120.404352
"CA Flats Solar 150, LLC",35.615573,-120.404352
CA Institute for Women,33.949722,-117.636427
CA Jurupa Valley 3251 De Forest Circle,34.026711,-117.521139
CA Manteca 730 Spreckels Ave,37.788679,-121.194505
CA-DGS RFP-Pleasant Valley State Prison,36.130814,-120.252862
CA-DGS RFP-Salinas Valley State Prison,36.467471,-121.384486
CA-DGS- RFP-Correctional Training Fac,36.46767,-121.38462
CA-DGS-California Correctional Inst,35.1135,-118.569
CA-DGS-California Men's Colony,35.32554,-120.69346
CA-Ventura Co CCD-Oxnard College Canopy,34.165905,-119.156765
"Cabin Creek Solar, LLC",35.33604,-79.741698
Cabrillo College,36.987452,-121.922414
CalCity Solar 1,35.141374,-117.965748
Calibrant Bakersfield LLC,35.442085,-119.093214
California City,35.157,-117.981
California PV Energy at ISD WWTP,38.001111,-121.703889
California State Univ at Channel Islands,34.162058,-119.043375
California Valley Solar Ranch,35.323739,-119.91663
Calipatria Solar Farm,33.165833,-115.532222
Calipatria State Prison,33.163055,-115.484805
CalRenew-1,36.7575,-120.3658
"Camden Dam Solar, LLC",36.311822,-76.125847
Camden Solar LLC,36.30786,-76.144486
Cameron Solar,33.574,-80.707
Cameron Solar II,33.567,-80.699
Camp Lejeune Solar,34.725699,-77.350273
Camp Lejeune Solar and Energy Storage,34.725699,-77.350273
Camp San Luis Obispo,35.322043,-120.732275
Campo Verde Solar,32.753333,-115.726389
"Canal Energy S23, LLC",36.1761,-119.5604
Candace Solar,35.487,-78.1922
Cantua Solar Station,36.425085,-120.343543
Cardinal Solar LLC,34.199824,-79.38585
Carl Friedrich Gauss Solar,36.345842,-77.633477
Carol Jean Solar,36.316111,-80.144444
Carolina Lily Solar,35.956,-80.444
Carter PV1,35.021111,-78.7875
Cascade Solar,34.157222,-116.234444
"Case Vander Eyk, Jr Dairy Solar",35.972788,-119.394323
Cash Solar,36.02818,-77.923306
Castaic Lake Phase II,34.433332,-118.510837
Castalia Solar,36.0939,-77.783333
Castle Rock Vineyards,35.801111,-119.110556
Catalina Express,33.749947,-118.278469
"Catalina Solar 2, LLC",34.812222,-118.352778
Catalina Solar LLC,34.938261,-118.334492
Catawba Solar LLC,35.61,-80.53
"Cathcart Solar, LLC",34.333898,-78.75281
Cawelo Water District Solar,35.049,-119.1812
"CB Bladen Solar, LLC",34.822869,-78.624278
CBC Solar Energy Gen Fac Phase 2,35.674444,-78.526111
CBS Television City,34.075,-118.36
CDCR (CA) - Corcoran State Prison,36.06502,-119.55756
CDCR (CA) - Pleasant Valley State Prison,36.137219,-120.224445
CDCR (CA) - Solano State Prison,38.32272,-121.97062
CDCR (CA) - Wasco State Prison,35.60053,-119.40366
CED Avenal,35.996324,-120.15146
CED Ducor 1,35.856278,-119.068414
CED Ducor 2,35.844167,-119.068069
CED Ducor 3,35.845378,-119.056992
CED Ducor 4,35.850403,-119.026992
"Cedar Solar, LLC",34.915767,-77.775743
"Centerfield Cooper Solar, LLC",34.708762,-80.118838
Centinela Solar Energy,32.686944,-115.647778
Centinela State Prison,32.825833,-115.782916
Central 40,37.246,-121.104
Central Antelope Dry Ranch B LLC,34.705549,-118.301417
Central Antelope Dry Ranch C,34.720499,-118.30046
Century Drive Solar Farm,35.837841,-78.6689
CFW Solar X LLC - Vaughn,34.277355,-118.429836
Chadbourn Farm,34.324656,-78.764901
Chaffey College Rancho Cucamonga Campus,34.148139,-117.570404
Chambers 4 - Eastvale DCA2,33.99347,-117.55391
Chambers 4 - Eastvale LGB3,33.99848,-117.55289
Chambers 4 - Redland LGB4,34.08041,-117.20138
Chambers 4 - Rialto LGB8,34.12937,-117.40554
Chambers 4 - Riverside LGB6,33.88102,-117.30036
Chambers 4 - Sacramento SMF1,38.68251,-121.57434
Chambers 4 - San Bernardino SNA7,34.07752,-117.27257
Champion Solar,33.794732,-81.262417
Changeup,35.74901,-79.78553
Chapman Solar,34.369819,-80.024808
Charlie,35.97485,-79.60948
Charlotte Solar,35.261944,-81.821667
Chauncey Farm LLC,34.3375,-78.521944
