owner,customer,ssi,method
Liberty Electric Power LLC,Liberty Electric Power LLC,False,unmatched - passthrough
Cordova Energy Co LLC,Cordova Energy Co LLC,False,unmatched - passthrough
The Dow Chemical Company,Industrial Self-Generation (various),False,rule
Parkway Generation Sewaren Urban Renewal Entity LLC,Parkway Generation,False,rule
"Essential Power Operating Company, LLC","Essential Power Operating Company, LLC",False,unmatched - passthrough
"Topaz Generating, LLC","Topaz Generating, LLC",False,unmatched - passthrough
Grand River Dam Authority,Grand River Dam Authority,False,rule
Vesper Energy Development LLC,Vesper Energy,False,rule
"Imperial Valley Solar, LLC","Imperial Valley Solar, LLC",False,unmatched - passthrough
"Golden Spread Electric Cooperative, Inc",Electric Cooperative (various),False,rule
JEA,JEA,False,rule
El Paso Electric Co,El Paso Electric,False,rule
"Buckeye Power, Inc",Buckeye Power,False,rule
"Rhode Island State Energy Center, LP","Rhode Island State Energy Center, LP",False,unmatched - passthrough
Astoria Energy LLC,Astoria Energy LLC,False,unmatched - passthrough
Municipal Electric Authority - (GA),Municipal / Public Utility (various),False,rule
Corpus Christi Cogeneration LLC,Corpus Christi Cogeneration LLC,False,unmatched - passthrough
"Double Back Diamond Solar Power, LLC","Double Back Diamond Solar Power, LLC",False,unmatched - passthrough
AltaGas Blythe Operations Inc,AltaGas Blythe Operations Inc,False,unmatched - passthrough
NAEA Ocean Peaking Power LLC,NAEA Ocean Peaking Power LLC,False,unmatched - passthrough
Clearlight Energy Holdings LP,Clearlight Energy,True,rule
Portland General Electric Co,Portland General Electric,True,rule
Big Rivers Electric Corp,Big Rivers Electric,False,rule
Topaz Solar Farms LLC,Topaz Solar Farms LLC,False,unmatched - passthrough
CER Colorado Bend Energy Partners LP,CER Colorado Bend Energy Partners LP,False,unmatched - passthrough
ANP Blackstone Energy Company LLC,ANP Blackstone Energy Company LLC,False,unmatched - passthrough
Milford Power Co LLC,Milford Power Co LLC,False,unmatched - passthrough
Bellingham Power Generation LLC,Bellingham Power Generation LLC,False,unmatched - passthrough
Enbridge,Enbridge,False,rule
BP Alternative Energy,BP Alternative Energy,False,unmatched - passthrough
MidAmerican Energy Co,MidAmerican Energy Company,True,rule
Public Service Elec & Gas Co,Public Service Elec & Gas Co,False,unmatched - passthrough
J Power USA Development Co Ltd,J Power USA Development Co Ltd,False,unmatched - passthrough
Sweeny Cogeneration LLC,Sweeny Cogeneration LLC,False,unmatched - passthrough
Duke Energy Kentucky Inc,Duke Energy Group,False,rule
Smarr EMC,Smarr EMC,False,unmatched - passthrough
"Northeast Texas Elec Coop, Inc",Electric Cooperative (various),False,rule
Empire District Electric Co,Algonquin / Liberty,False,rule
Tiverton Power LLC,Tiverton Power LLC,False,unmatched - passthrough
Westbrook Energy Center,Westbrook Energy Center,False,unmatched - passthrough
Dairyland Power Coop,Electric Cooperative (various),False,rule
San Diego Gas & Electric Co,Sempra Group,False,rule
Sacramento Municipal Util Dist,SMUD,False,rule
Springdale Energy LLC,Springdale Energy LLC,False,unmatched - passthrough
Carville Energy LLC,Carville Energy LLC,False,unmatched - passthrough
City of Colorado Springs - (CO),Municipal / Public Utility (various),False,rule
Dearborn Industrial Gen Inc,Dearborn Industrial Gen Inc,False,unmatched - passthrough
Calpine Corp - Hidalgo,Calpine Group,False,rule
"Quail Run Energy Partners, LP","Quail Run Energy Partners, LP",False,unmatched - passthrough
