site,year,month_start,signature_final,confidence,D,score,value_usd,value_usd_quick,rec_pct
Misae Solar,2024,2024-04-01,BOS_INTERMITTENT,HIGH,0.5394253848458839,0.46057461515411613,866287.4784625875,844862.1363636362,0.7
Aktina Solar,2023,2023-05-01,UNATTRIBUTED,LOW,0.547200171929926,0.4527998280700741,862688.8357515037,0.0,0.35
Aktina Solar,2021,2021-10-01,UNATTRIBUTED,LOW,0.5253572446070776,0.47464275539292244,852619.1895662772,0.0,0.35
Campo Verde Solar,2024,2024-11-01,OUTAGE_FULL,HIGH,0.9966613468347,0.0033386531653000207,849755.0447326772,838249.7142857143,0.9
Aktina Solar,2025,2025-05-01,BOS_INTERMITTENT,MEDIUM,0.2684507601238204,0.7315492398761796,848234.64084487,807106.461538461,0.7
Delilah Solar Energy LLC,2023,2023-09-01,UNATTRIBUTED,LOW,1.0,0.0,841980.4662121303,0.0,0.35
Mount Signal Solar Farm II,2023,2023-05-01,BLOCK_OUTAGE,HIGH,0.48592280509846986,0.5140771949015301,841841.6380347589,818791.2,0.9
Sun Streams 3,2025,2025-04-01,BOS_INTERMITTENT,MEDIUM,0.4856288394745192,0.5143711605254808,841603.2099684621,818545.7333252553,0.7
Aktina Solar,2025,2025-03-01,BOS_INTERMITTENT,MEDIUM,0.2912908641010694,0.7087091358989306,841315.1714506187,803577.5744327612,0.7
Shakes Solar,2022,2022-07-01,UNATTRIBUTED,LOW,0.9696374988451653,0.03036250115483476,838486.4094476097,0.0,0.35
Delilah Solar Energy LLC,2023,2023-04-01,UNATTRIBUTED,LOW,1.0,0.0,838027.3242334492,0.0,0.35
Agave,2025,2025-11-01,OUTAGE_FULL,HIGH,1.0,0.0,836332.8643114604,825046.56,0.9
"Copper Mountain Solar 5, LLC",2021,2021-03-01,UNATTRIBUTED,LOW,0.9981677262272092,0.001832273772790832,832199.7745848045,0.0,0.35
Sparta Solar,2025,2025-06-01,TRACKER,MEDIUM,0.43034145282093883,0.5696585471790612,831356.4357816671,805743.6390977444,0.8
"BigBeau Solar, LLC",2026,2026-03-01,OUTAGE_FULL,MEDIUM,0.7852712873006383,0.2147287126993617,830336.4411122194,816119.4623492967,0.9
Silver State Solar Power South,2024,2024-05-01,BOS_INTERMITTENT,MEDIUM,0.3382747116486188,0.6617252883513812,828467.8230044721,796267.3198799698,0.7
Robins Air Force Base Solar,2024,2024-03-01,OUTAGE_FULL,HIGH,1.0,0.0,826649.5941874431,815493.9655172415,0.9
Silver State Solar Power South,2023,2023-04-01,BLOCK_OUTAGE,MEDIUM,0.2914603610872436,0.7085396389127564,823963.5770154237,787024.8239999997,0.9
Sun Streams 2,2024,2024-05-01,BOS_INTERMITTENT,HIGH,0.5823529159596534,0.41764708404034656,819966.0757564417,801146.9591906809,0.7
"SE Athos II, LLC",2024,2024-05-01,BOS_INTERMITTENT,MEDIUM,0.4078022449477239,0.5921977550522761,819610.9173791908,793009.660099816,0.7
