site,year,month_start,signature_final,confidence,D,score,value_usd,value_usd_quick,rec_pct
Corazon Energy LLC,2021,2021-06-01,UNATTRIBUTED,LOW,0.9946667334794667,0.00533326652053335,727500.2814168327,0.0,0.35
Impact Solar 1,2025,2025-03-01,BOS_INTERMITTENT,HIGH,0.6101133951108222,0.38988660488917776,726491.8134122842,710560.0616289127,0.7
Aquamarine,2023,2023-04-01,BLOCK_OUTAGE,HIGH,0.2854343734522041,0.7145656265477959,725623.6138979578,692438.1412066754,0.9
Mount Signal Solar Farm V,2022,2022-04-01,BOS_INTERMITTENT,MEDIUM,0.3704146995193699,0.6295853004806301,725288.9672959202,699457.6525481482,0.7
Mount Signal Solar Farm II,2023,2023-04-01,BLOCK_OUTAGE,HIGH,0.46760821959434096,0.532391780405659,723721.9634197969,703151.6843835615,0.9
Aktina Solar,2023,2023-01-01,UNATTRIBUTED,LOW,0.7196298002799855,0.2803701997200145,722593.2987030861,0.0,0.35
Aktina Solar,2023,2023-02-01,UNATTRIBUTED,LOW,0.6527890193624453,0.34721098063755473,720026.9296178314,0.0,0.35
Aquamarine,2023,2023-05-01,BLOCK_OUTAGE,HIGH,0.2776884563038726,0.7223115436961274,720018.9360483703,686214.3763066201,0.9
Aktina Solar,2022,2022-04-01,UNATTRIBUTED,LOW,0.3437526932765146,0.6562473067234854,718421.4977640645,0.0,0.35
Prospero Solar,2022,2022-06-01,BOS_INTERMITTENT,HIGH,0.2934645008419047,0.7065354991580953,716609.2086743504,684692.8373765773,0.7
Juno Solar Project,2021,2021-03-01,UNATTRIBUTED,LOW,0.6334379120204825,0.3665620879795175,715939.4762725134,0.0,0.35
Phoebe Solar,2022,2022-04-01,BOS_INTERMITTENT,MEDIUM,0.40364457913665186,0.5963554208633481,714637.7995068352,691212.4684485269,0.7
Titan Solar 1 (CA),2025,2025-07-01,OUTAGE_FULL,HIGH,0.8489319751408048,0.15106802485919524,711248.4425843093,699969.215339233,0.9
Delilah Solar Energy LLC,2023,2023-10-01,UNATTRIBUTED,LOW,1.0,0.0,711071.6301416751,0.0,0.35
Greasewood Solar,2024,2024-04-01,UNATTRIBUTED,LOW,0.7686601777067241,0.23133982229327593,702787.4447841173,690498.8596723044,0.35
McFarland B Solar and Storage,2025,2025-02-01,UNATTRIBUTED,LOW,0.9416608697527838,0.058339130247216174,701942.188217389,0.0,0.35
Corazon Energy LLC,2024,2024-06-01,UNATTRIBUTED,LOW,1.0,0.0,699917.6038484545,690472.222222222,0.35
