site,signature,n_blocks,age_years,horizon_months,R_now,R_future,cond_prob_failure,expected_failures,expected_failures_block_level,beta,eta,distribution,loglik,stratum,credibility_Z,left_truncated
Tipton Solar Park,OUTAGE_FULL,3,6.42,36,0.686306,0.556716,0.188822,0.188822,0.5665,1.153,14.9815,weibull,,fleet,1.0,True
Tipton Solar Park,SOILING,3,6.42,12,0.772565,0.735271,0.048274,0.048274,0.1448,1.2118,19.6348,weibull,,fleet,1.0,True
Tipton Solar Park,SOILING,3,6.42,24,0.772565,0.698772,0.095518,0.095518,0.2866,1.2118,19.6348,weibull,,fleet,1.0,True
Tipton Solar Park,SOILING,3,6.42,36,0.772565,0.663222,0.141533,0.141533,0.4246,1.2118,19.6348,weibull,,fleet,1.0,True
Tinker (NC),TRACKER,3,7.083,12,0.804045,0.777739,0.032717,0.032717,0.0982,1.0748,29.209,weibull,,fleet,0.783,True
Tinker (NC),TRACKER,3,7.083,24,0.804045,0.752061,0.064654,0.064654,0.194,1.0748,29.209,weibull,,fleet,0.783,True
Tinker (NC),TRACKER,3,7.083,36,0.804045,0.727028,0.095788,0.095788,0.2874,1.0748,29.209,weibull,,fleet,0.783,True
Tinker (NC),UNATTRIBUTED,3,7.083,12,0.169119,0.124638,0.263018,0.263018,0.7891,1.2,4.3863,weibull,,fleet,0.783,True
Tinker (NC),UNATTRIBUTED,3,7.083,24,0.169119,0.091155,0.461005,0.461005,1.383,1.2,4.3863,weibull,,fleet,0.783,True
Tinker (NC),UNATTRIBUTED,3,7.083,36,0.169119,0.066203,0.608544,0.608544,1.8256,1.2,4.3863,weibull,,fleet,0.783,True
Timonium Fairgrounds,SOILING,9,5.166,12,0.820124,0.782139,0.046316,0.046316,0.4168,1.2118,19.6348,weibull,,fleet,1.0,True
Timonium Fairgrounds,SOILING,9,5.166,24,0.820124,0.744673,0.091999,0.091999,0.828,1.2118,19.6348,weibull,,fleet,1.0,True
Timonium Fairgrounds,SOILING,9,5.166,36,0.820124,0.707955,0.13677,0.13677,1.2309,1.2118,19.6348,weibull,,fleet,1.0,True
Timonium Fairgrounds,TRACKER,9,5.166,12,0.856095,0.828681,0.032022,0.032022,0.2882,1.0748,29.209,weibull,,fleet,1.0,True
Timonium Fairgrounds,TRACKER,9,5.166,24,0.856095,0.801825,0.063392,0.063392,0.5705,1.0748,29.209,weibull,,fleet,1.0,True
Timonium Fairgrounds,TRACKER,9,5.166,36,0.856095,0.775571,0.09406,0.09406,0.8465,1.0748,29.209,weibull,,fleet,1.0,True
Tinker (NC),BLOCK_OUTAGE,3,7.083,12,0.483204,0.429864,0.11039,0.11039,0.3312,1.1292,9.3899,weibull,,fleet,0.783,True
Tinker (NC),BLOCK_OUTAGE,3,7.083,24,0.483204,0.381689,0.210088,0.210088,0.6303,1.1292,9.3899,weibull,,fleet,0.783,True
Tinker (NC),BLOCK_OUTAGE,3,7.083,36,0.483204,0.338336,0.299808,0.299808,0.8994,1.1292,9.3899,weibull,,fleet,0.783,True
Tinker (NC),BOS_INTERMITTENT,3,7.083,12,0.384272,0.320229,0.16666,0.16666,0.5,1.3211,7.3259,weibull,,fleet,0.783,True
Tinker (NC),BOS_INTERMITTENT,3,7.083,24,0.384272,0.264891,0.310667,0.310667,0.932,1.3211,7.3259,weibull,,fleet,0.783,True
Tinker (NC),BOS_INTERMITTENT,3,7.083,36,0.384272,0.217623,0.433675,0.433675,1.301,1.3211,7.3259,weibull,,fleet,0.783,True
Tinker (NC),OUTAGE_FULL,3,7.083,12,0.656018,0.61207,0.066991,0.066991,0.201,1.153,14.9815,weibull,,fleet,0.783,True
Tinker (NC),OUTAGE_FULL,3,7.083,24,0.656018,0.570309,0.13065,0.13065,0.392,1.153,14.9815,weibull,,fleet,0.783,True
Tinker (NC),OUTAGE_FULL,3,7.083,36,0.656018,0.530758,0.190939,0.190939,0.5728,1.153,14.9815,weibull,,fleet,0.783,True
Tinton Falls Solar Farm,TRACKER,8,11.08,12,0.702716,0.678998,0.033753,0.033753,0.27,1.0748,29.209,weibull,,fleet,0.983,True
Tinton Falls Solar Farm,TRACKER,8,11.08,24,0.702716,0.655939,0.066566,0.066566,0.5325,1.0748,29.209,weibull,,fleet,0.983,True
Tinton Falls Solar Farm,TRACKER,8,11.08,36,0.702716,0.633538,0.098444,0.098444,0.7875,1.0748,29.209,weibull,,fleet,0.983,True
Tinton Falls Solar Farm,UNATTRIBUTED,8,11.08,12,0.047817,0.034301,0.282645,0.282645,2.2612,1.2,4.3863,weibull,,fleet,0.983,True
Tinton Falls Solar Farm,UNATTRIBUTED,8,11.08,24,0.047817,0.02447,0.48825,0.48825,3.906,1.2,4.3863,weibull,,fleet,0.983,True
Tinton Falls Solar Farm,UNATTRIBUTED,8,11.08,36,0.047817,0.017366,0.636822,0.636822,5.0946,1.2,4.3863,weibull,,fleet,0.983,True
Timber Creek HS,SOILING,1,12.0,12,0.576591,0.545142,0.054542,0.054542,0.0545,1.2118,19.6348,weibull,,fleet,1.0,True
Timber Creek HS,SOILING,1,12.0,24,0.576591,0.514934,0.106933,0.106933,0.1069,1.2118,19.6348,weibull,,fleet,1.0,True
Timber Creek HS,SOILING,1,12.0,36,0.576591,0.485977,0.157154,0.157154,0.1572,1.2118,19.6348,weibull,,fleet,1.0,True
Timber Creek HS,TRACKER,1,12.0,12,0.680873,0.657762,0.033943,0.033943,0.0339,1.0748,29.209,weibull,,fleet,1.0,True
Timber Creek HS,TRACKER,1,12.0,24,0.680873,0.635308,0.066921,0.066921,0.0669,1.0748,29.209,weibull,,fleet,1.0,True
Timber Creek HS,TRACKER,1,12.0,36,0.680873,0.613507,0.09894,0.09894,0.0989,1.0748,29.209,weibull,,fleet,1.0,True
Tioga Solar South(CSG),OUTAGE_FULL,5,4.082,12,0.799858,0.750131,0.06217,0.06217,0.3108,1.153,14.9815,weibull,,fleet,0.816,True
Tioga Solar South(CSG),OUTAGE_FULL,5,4.082,24,0.799858,0.702108,0.122209,0.122209,0.611,1.153,14.9815,weibull,,fleet,0.816,True
Tioga Solar South(CSG),OUTAGE_FULL,5,4.082,36,0.799858,0.656049,0.179794,0.179794,0.899,1.153,14.9815,weibull,,fleet,0.816,True
Tioga Solar South(CSG),SOILING,5,4.082,12,0.861518,0.823336,0.044319,0.044319,0.2216,1.2118,19.6348,weibull,,fleet,0.816,True
Tioga Solar South(CSG),SOILING,5,4.082,24,0.861518,0.785321,0.088446,0.088446,0.4422,1.2118,19.6348,weibull,,fleet,0.816,True
Tioga Solar South(CSG),SOILING,5,4.082,36,0.861518,0.747801,0.131996,0.131996,0.66,1.2118,19.6348,weibull,,fleet,0.816,True
Tioga Solar North(CSG),OUTAGE_FULL,5,4.082,12,0.799858,0.750131,0.06217,0.06217,0.3108,1.153,14.9815,weibull,,fleet,0.816,True
Tioga Solar North(CSG),OUTAGE_FULL,5,4.082,24,0.799858,0.702108,0.122209,0.122209,0.611,1.153,14.9815,weibull,,fleet,0.816,True
Tioga Solar North(CSG),OUTAGE_FULL,5,4.082,36,0.799858,0.656049,0.179794,0.179794,0.899,1.153,14.9815,weibull,,fleet,0.816,True
Tioga Solar North(CSG),SOILING,5,4.082,12,0.861518,0.823336,0.044319,0.044319,0.2216,1.2118,19.6348,weibull,,fleet,0.816,True
Tioga Solar North(CSG),SOILING,5,4.082,24,0.861518,0.785321,0.088446,0.088446,0.4422,1.2118,19.6348,weibull,,fleet,0.816,True
Tioga Solar North(CSG),SOILING,5,4.082,36,0.861518,0.747801,0.131996,0.131996,0.66,1.2118,19.6348,weibull,,fleet,0.816,True
Tioga Solar North(CSG),TRACKER,5,4.082,12,0.886368,0.858426,0.031524,0.031524,0.1576,1.0748,29.209,weibull,,fleet,0.816,True
Tioga Solar North(CSG),TRACKER,5,4.082,24,0.886368,0.830968,0.062502,0.062502,0.3125,1.0748,29.209,weibull,,fleet,0.816,True
Tioga Solar North(CSG),TRACKER,5,4.082,36,0.886368,0.804064,0.092856,0.092856,0.4643,1.0748,29.209,weibull,,fleet,0.816,True
CTGB Osborn,SOILING,1,0.999,12,0.97328,0.939169,0.035048,0.035048,0.035,1.2118,19.6348,weibull,,fleet,0.183,True
CTGB Osborn,SOILING,1,0.999,24,0.97328,0.90249,0.072733,0.072733,0.0727,1.2118,19.6348,weibull,,fleet,0.183,True
CTGB Osborn,SOILING,1,0.999,36,0.97328,0.864674,0.111587,0.111587,0.1116,1.2118,19.6348,weibull,,fleet,0.183,True
CTGB Osborn,TRACKER,1,0.999,12,0.973772,0.945534,0.028999,0.028999,0.029,1.0748,29.209,weibull,,fleet,0.183,True
CTGB Osborn,TRACKER,1,0.999,24,0.973772,0.917038,0.058262,0.058262,0.0583,1.0748,29.209,weibull,,fleet,0.183,True
CTGB Osborn,TRACKER,1,0.999,36,0.973772,0.888701,0.087363,0.087363,0.0874,1.0748,29.209,weibull,,fleet,0.183,True
Time Warner Cable Enterprises - Martino,BLOCK_OUTAGE,1,7.42,12,0.464645,0.41308,0.110976,0.110976,0.111,1.1292,9.3899,weibull,,fleet,1.0,True
Time Warner Cable Enterprises - Martino,BLOCK_OUTAGE,1,7.42,24,0.464645,0.366569,0.211076,0.211076,0.2111,1.1292,9.3899,weibull,,fleet,1.0,True
Time Warner Cable Enterprises - Martino,BLOCK_OUTAGE,1,7.42,36,0.464645,0.324758,0.301062,0.301062,0.3011,1.1292,9.3899,weibull,,fleet,1.0,True
Tiffany,OUTAGE_FULL,3,3.001,12,0.855041,0.803972,0.059727,0.059727,0.1792,1.153,14.9815,weibull,,fleet,0.583,True
Tiffany,OUTAGE_FULL,3,3.001,24,0.855041,0.754122,0.118028,0.118028,0.3541,1.153,14.9815,weibull,,fleet,0.583,True
Tiffany,OUTAGE_FULL,3,3.001,36,0.855041,0.705949,0.174368,0.174368,0.5231,1.153,14.9815,weibull,,fleet,0.583,True
Tiffany,SOILING,3,3.001,12,0.902439,0.864622,0.041905,0.041905,0.1257,1.2118,19.6348,weibull,,fleet,0.583,True
Tiffany,SOILING,3,3.001,24,0.902439,0.826445,0.084209,0.084209,0.2526,1.2118,19.6348,weibull,,fleet,0.583,True
Tiffany,SOILING,3,3.001,36,0.902439,0.788402,0.126365,0.126365,0.3791,1.2118,19.6348,weibull,,fleet,0.583,True
Tiffany,TRACKER,3,3.001,12,0.916999,0.888662,0.030902,0.030902,0.0927,1.0748,29.209,weibull,,fleet,0.583,True
Tiffany,TRACKER,3,3.001,24,0.916999,0.860685,0.061411,0.061411,0.1842,1.0748,29.209,weibull,,fleet,0.583,True
Tiffany,TRACKER,3,3.001,36,0.916999,0.833185,0.0914,0.0914,0.2742,1.0748,29.209,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",BLOCK_OUTAGE,39,2.916,12,0.765691,0.689035,0.100113,0.100113,3.9044,1.1292,9.3899,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",BLOCK_OUTAGE,39,2.916,24,0.765691,0.617841,0.193093,0.193093,7.5306,1.1292,9.3899,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",BLOCK_OUTAGE,39,2.916,36,0.765691,0.552385,0.278579,0.278579,10.8646,1.1292,9.3899,weibull,,fleet,0.583,True
CVEC Round 4 Brewster Captn Golf Course,OUTAGE_FULL,1,3.754,12,0.816501,0.766298,0.061486,0.061486,0.0615,1.153,14.9815,weibull,,fleet,0.583,True
CVEC Round 4 Brewster Captn Golf Course,OUTAGE_FULL,1,3.754,24,0.816501,0.717679,0.12103,0.12103,0.121,1.153,14.9815,weibull,,fleet,0.583,True
CVEC Round 4 Brewster Captn Golf Course,OUTAGE_FULL,1,3.754,36,0.816501,0.670954,0.178257,0.178257,0.1783,1.153,14.9815,weibull,,fleet,0.583,True
Tift Boyd,SOILING,2,3.168,12,0.896176,0.858255,0.042314,0.042314,0.0846,1.2118,19.6348,weibull,,fleet,0.383,True
Tift Boyd,SOILING,2,3.168,24,0.896176,0.820072,0.084922,0.084922,0.1698,1.2118,19.6348,weibull,,fleet,0.383,True
Tift Boyd,SOILING,2,3.168,36,0.896176,0.782087,0.127307,0.127307,0.2546,1.2118,19.6348,weibull,,fleet,0.383,True
Tift Boyd,UNATTRIBUTED,2,3.168,12,0.508313,0.390439,0.231894,0.231894,0.4638,1.2,4.3863,weibull,,fleet,0.383,True
Tift Boyd,UNATTRIBUTED,2,3.168,24,0.508313,0.295999,0.417684,0.417684,0.8354,1.2,4.3863,weibull,,fleet,0.383,True
Tift Boyd,UNATTRIBUTED,2,3.168,36,0.508313,0.22195,0.56336,0.56336,1.1267,1.2,4.3863,weibull,,fleet,0.383,True
Tiffany,BLOCK_OUTAGE,3,3.001,12,0.758988,0.682774,0.100416,0.100416,0.3012,1.1292,9.3899,weibull,,fleet,0.583,True
Tiffany,BLOCK_OUTAGE,3,3.001,24,0.758988,0.612061,0.193583,0.193583,0.5807,1.1292,9.3899,weibull,,fleet,0.583,True
Tiffany,BLOCK_OUTAGE,3,3.001,36,0.758988,0.547094,0.27918,0.27918,0.8375,1.1292,9.3899,weibull,,fleet,0.583,True
Tiffany,BOS_INTERMITTENT,3,3.001,12,0.735261,0.637827,0.132517,0.132517,0.3975,1.3211,7.3259,weibull,,fleet,0.583,True
Tiffany,BOS_INTERMITTENT,3,3.001,24,0.735261,0.546709,0.256442,0.256442,0.7693,1.3211,7.3259,weibull,,fleet,0.583,True
Tiffany,BOS_INTERMITTENT,3,3.001,36,0.735261,0.463814,0.369184,0.369184,1.1076,1.3211,7.3259,weibull,,fleet,0.583,True
CTGB Osborn,OUTAGE_FULL,1,0.999,12,0.956879,0.906595,0.05255,0.05255,0.0525,1.153,14.9815,weibull,,fleet,0.183,True
CTGB Osborn,OUTAGE_FULL,1,0.999,24,0.956879,0.855111,0.106354,0.106354,0.1064,1.153,14.9815,weibull,,fleet,0.183,True
CTGB Osborn,OUTAGE_FULL,1,0.999,36,0.956879,0.804041,0.159725,0.159725,0.1597,1.153,14.9815,weibull,,fleet,0.183,True
"Cabin Creek Solar, LLC",OUTAGE_FULL,39,2.916,12,0.859409,0.808267,0.059508,0.059508,2.3208,1.153,14.9815,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",OUTAGE_FULL,39,2.916,24,0.859409,0.758293,0.117658,0.117658,4.5887,1.153,14.9815,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",OUTAGE_FULL,39,2.916,36,0.859409,0.709965,0.173892,0.173892,6.7818,1.153,14.9815,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",SOILING,39,2.916,12,0.90561,0.867854,0.041691,0.041691,1.626,1.2118,19.6348,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",SOILING,39,2.916,24,0.90561,0.829686,0.083838,0.083838,3.2697,1.2118,19.6348,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",SOILING,39,2.916,36,0.90561,0.791617,0.125875,0.125875,4.9091,1.2118,19.6348,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",TRACKER,39,2.916,12,0.919415,0.891055,0.030846,0.030846,1.203,1.0748,29.209,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",TRACKER,39,2.916,24,0.919415,0.863043,0.061313,0.061313,2.3912,1.0748,29.209,weibull,,fleet,0.583,True
"Cabin Creek Solar, LLC",TRACKER,39,2.916,36,0.919415,0.835498,0.091272,0.091272,3.5596,1.0748,29.209,weibull,,fleet,0.583,True
Caden Energix Axton LLC,BLOCK_OUTAGE,34,2.001,12,0.839833,0.758934,0.096327,0.096327,3.2751,1.1292,9.3899,weibull,,fleet,0.383,True
Caden Energix Axton LLC,BLOCK_OUTAGE,34,2.001,24,0.839833,0.682724,0.187072,0.187072,6.3605,1.1292,9.3899,weibull,,fleet,0.383,True
Caden Energix Axton LLC,BLOCK_OUTAGE,34,2.001,36,0.839833,0.612015,0.271266,0.271266,9.223,1.1292,9.3899,weibull,,fleet,0.383,True
Caden Energix Axton LLC,BOS_INTERMITTENT,34,2.001,12,0.835187,0.735193,0.119726,0.119726,4.0707,1.3211,7.3259,weibull,,fleet,0.383,True
Caden Energix Axton LLC,BOS_INTERMITTENT,34,2.001,24,0.835187,0.637762,0.236384,0.236384,8.0371,1.3211,7.3259,weibull,,fleet,0.383,True
Caden Energix Axton LLC,BOS_INTERMITTENT,34,2.001,36,0.835187,0.546649,0.345477,0.345477,11.7462,1.3211,7.3259,weibull,,fleet,0.383,True
Caden Energix Axton LLC,OUTAGE_FULL,34,2.001,12,0.90649,0.855005,0.056796,0.056796,1.931,1.153,14.9815,weibull,,fleet,0.383,True
Caden Energix Axton LLC,OUTAGE_FULL,34,2.001,24,0.90649,0.803937,0.113132,0.113132,3.8465,1.153,14.9815,weibull,,fleet,0.383,True
Caden Energix Axton LLC,OUTAGE_FULL,34,2.001,36,0.90649,0.754089,0.168122,0.168122,5.7162,1.153,14.9815,weibull,,fleet,0.383,True
Timonium Fairgrounds,OUTAGE_FULL,9,5.166,12,0.746018,0.698152,0.064162,0.064162,0.5775,1.153,14.9815,weibull,,fleet,1.0,True
Timonium Fairgrounds,OUTAGE_FULL,9,5.166,24,0.746018,0.652266,0.12567,0.12567,1.131,1.153,14.9815,weibull,,fleet,1.0,True
Timonium Fairgrounds,OUTAGE_FULL,9,5.166,36,0.746018,0.608499,0.184338,0.184338,1.659,1.153,14.9815,weibull,,fleet,1.0,True
Time Warner Cable Enterprises - Martino,SOILING,1,7.42,12,0.735296,0.698796,0.049639,0.049639,0.0496,1.2118,19.6348,weibull,,fleet,1.0,True
Time Warner Cable Enterprises - Martino,SOILING,1,7.42,24,0.735296,0.663246,0.097988,0.097988,0.098,1.2118,19.6348,weibull,,fleet,1.0,True
Time Warner Cable Enterprises - Martino,SOILING,1,7.42,36,0.735296,0.628755,0.144895,0.144895,0.1449,1.2118,19.6348,weibull,,fleet,1.0,True
CTGB Osborn,BLOCK_OUTAGE,1,0.999,12,0.923415,0.840003,0.09033,0.09033,0.0903,1.1292,9.3899,weibull,,fleet,0.183,True
CTGB Osborn,BLOCK_OUTAGE,1,0.999,24,0.923415,0.759096,0.177947,0.177947,0.1779,1.1292,9.3899,weibull,,fleet,0.183,True
CTGB Osborn,BLOCK_OUTAGE,1,0.999,36,0.923415,0.682875,0.26049,0.26049,0.2605,1.1292,9.3899,weibull,,fleet,0.183,True
CTGB Osborn,BOS_INTERMITTENT,1,0.999,12,0.930577,0.835391,0.102287,0.102287,0.1023,1.3211,7.3259,weibull,,fleet,0.183,True
CTGB Osborn,BOS_INTERMITTENT,1,0.999,24,0.930577,0.735397,0.20974,0.20974,0.2097,1.3211,7.3259,weibull,,fleet,0.183,True
CTGB Osborn,BOS_INTERMITTENT,1,0.999,36,0.930577,0.637956,0.314451,0.314451,0.3145,1.3211,7.3259,weibull,,fleet,0.183,True
"Caden Energix Endless Caverns, LLC",TRACKER,14,2.001,12,0.945475,0.916979,0.030139,0.030139,0.4219,1.0748,29.209,weibull,,fleet,0.383,True
"Caden Energix Endless Caverns, LLC",TRACKER,14,2.001,24,0.945475,0.888643,0.06011,0.06011,0.8415,1.0748,29.209,weibull,,fleet,0.383,True
"Caden Energix Endless Caverns, LLC",TRACKER,14,2.001,36,0.945475,0.860666,0.0897,0.0897,1.2558,1.0748,29.209,weibull,,fleet,0.383,True
"Caden Energix Endless Caverns, LLC",UNATTRIBUTED,14,2.001,12,0.677054,0.530333,0.216704,0.216704,3.0339,1.2,4.3863,weibull,,fleet,0.383,True
"Caden Energix Endless Caverns, LLC",UNATTRIBUTED,14,2.001,24,0.677054,0.408352,0.39687,0.39687,5.5562,1.2,4.3863,weibull,,fleet,0.383,True
"Caden Energix Endless Caverns, LLC",UNATTRIBUTED,14,2.001,36,0.677054,0.310202,0.541836,0.541836,7.5857,1.2,4.3863,weibull,,fleet,0.383,True
Caden Energix Axton LLC,SOILING,34,2.001,12,0.939096,0.902414,0.039061,0.039061,1.3281,1.2118,19.6348,weibull,,fleet,0.383,True
Caden Energix Axton LLC,SOILING,34,2.001,24,0.939096,0.864596,0.079331,0.079331,2.6973,1.2118,19.6348,weibull,,fleet,0.383,True
Caden Energix Axton LLC,SOILING,34,2.001,36,0.939096,0.826419,0.119984,0.119984,4.0795,1.2118,19.6348,weibull,,fleet,0.383,True
Caden Energix Axton LLC,TRACKER,34,2.001,12,0.945475,0.916979,0.030139,0.030139,1.0247,1.0748,29.209,weibull,,fleet,0.383,True
Caden Energix Axton LLC,TRACKER,34,2.001,24,0.945475,0.888643,0.06011,0.06011,2.0437,1.0748,29.209,weibull,,fleet,0.383,True
Caden Energix Axton LLC,TRACKER,34,2.001,36,0.945475,0.860666,0.0897,0.0897,3.0498,1.0748,29.209,weibull,,fleet,0.383,True
Caden Energix Axton LLC,UNATTRIBUTED,34,2.001,12,0.677054,0.530333,0.216704,0.216704,7.3679,1.2,4.3863,weibull,,fleet,0.383,True
Caden Energix Axton LLC,UNATTRIBUTED,34,2.001,24,0.677054,0.408352,0.39687,0.39687,13.4936,1.2,4.3863,weibull,,fleet,0.383,True
Caden Energix Axton LLC,UNATTRIBUTED,34,2.001,36,0.677054,0.310202,0.541836,0.541836,18.4224,1.2,4.3863,weibull,,fleet,0.383,True
Caden Energix Pamplin LLC,OUTAGE_FULL,8,5.418,12,0.733786,0.686401,0.064577,0.064577,0.5166,1.153,14.9815,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,OUTAGE_FULL,8,5.418,24,0.733786,0.641038,0.126397,0.126397,1.0112,1.153,14.9815,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,OUTAGE_FULL,8,5.418,36,0.733786,0.597818,0.185296,0.185296,1.4824,1.153,14.9815,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,SOILING,8,5.418,12,0.810523,0.772643,0.046735,0.046735,0.3739,1.2118,19.6348,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,SOILING,8,5.418,24,0.810523,0.735347,0.09275,0.09275,0.742,1.2118,19.6348,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,SOILING,8,5.418,36,0.810523,0.698846,0.137784,0.137784,1.1023,1.2118,19.6348,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,TRACKER,8,5.418,12,0.84914,0.821862,0.032125,0.032125,0.257,1.0748,29.209,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,TRACKER,8,5.418,24,0.84914,0.795154,0.063577,0.063577,0.5086,1.0748,29.209,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,TRACKER,8,5.418,36,0.84914,0.769056,0.094312,0.094312,0.7545,1.0748,29.209,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,UNATTRIBUTED,8,5.418,12,0.275668,0.206188,0.252044,0.252044,2.0164,1.2,4.3863,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,UNATTRIBUTED,8,5.418,24,0.275668,0.152803,0.4457,0.4457,3.5656,1.2,4.3863,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,UNATTRIBUTED,8,5.418,36,0.275668,0.112314,0.592574,0.592574,4.7406,1.2,4.3863,weibull,,fleet,1.0,True
Caden Energix Hickory LLC,OUTAGE_FULL,7,5.333,12,0.737895,0.690346,0.064439,0.064439,0.4511,1.153,14.9815,weibull,,fleet,1.0,True
Caden Energix Hickory LLC,OUTAGE_FULL,7,5.333,24,0.737895,0.644806,0.126155,0.126155,0.8831,1.153,14.9815,weibull,,fleet,1.0,True
Caden Energix Hickory LLC,OUTAGE_FULL,7,5.333,36,0.737895,0.601402,0.184977,0.184977,1.2948,1.153,14.9815,weibull,,fleet,1.0,True
Caden Energix Hickory LLC,SOILING,7,5.333,12,0.813756,0.775839,0.046596,0.046596,0.3262,1.2118,19.6348,weibull,,fleet,1.0,True
Caden Energix Hickory LLC,SOILING,7,5.333,24,0.813756,0.738484,0.0925,0.0925,0.6475,1.2118,19.6348,weibull,,fleet,1.0,True
Caden Energix Hickory LLC,SOILING,7,5.333,36,0.813756,0.701909,0.137446,0.137446,0.9621,1.2118,19.6348,weibull,,fleet,1.0,True
Caden Energix Hickory LLC,TRACKER,7,5.333,12,0.85148,0.824156,0.03209,0.03209,0.2246,1.0748,29.209,weibull,,fleet,1.0,True
Caden Energix Hickory LLC,TRACKER,7,5.333,24,0.85148,0.797398,0.063516,0.063516,0.4446,1.0748,29.209,weibull,,fleet,1.0,True
Caden Energix Hickory LLC,TRACKER,7,5.333,36,0.85148,0.771247,0.094228,0.094228,0.6596,1.0748,29.209,weibull,,fleet,1.0,True
CVEC Round 4 Brewster Captn Golf Course,TRACKER,1,3.754,12,0.895636,0.867557,0.031351,0.031351,0.0314,1.0748,29.209,weibull,,fleet,0.583,True
CVEC Round 4 Brewster Captn Golf Course,TRACKER,1,3.754,24,0.895636,0.839931,0.062196,0.062196,0.0622,1.0748,29.209,weibull,,fleet,0.583,True
CVEC Round 4 Brewster Captn Golf Course,TRACKER,1,3.754,36,0.895636,0.812839,0.092445,0.092445,0.0924,1.0748,29.209,weibull,,fleet,0.583,True
CVEC Round 4 Brewster Captn Golf Course,BLOCK_OUTAGE,1,3.754,12,0.701113,0.629002,0.102851,0.102851,0.1029,1.1292,9.3899,weibull,,fleet,0.583,True
CVEC Round 4 Brewster Captn Golf Course,BLOCK_OUTAGE,1,3.754,24,0.701113,0.562612,0.197544,0.197544,0.1975,1.1292,9.3899,weibull,,fleet,0.583,True
CVEC Round 4 Brewster Captn Golf Course,BLOCK_OUTAGE,1,3.754,36,0.701113,0.501949,0.284068,0.284068,0.2841,1.1292,9.3899,weibull,,fleet,0.583,True
Caden Energix Pamplin LLC,BLOCK_OUTAGE,8,5.418,12,0.584235,0.521664,0.107099,0.107099,0.8568,1.1292,9.3899,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,BLOCK_OUTAGE,8,5.418,24,0.584235,0.464719,0.204569,0.204569,1.6366,1.1292,9.3899,weibull,,fleet,1.0,True
Caden Energix Pamplin LLC,BLOCK_OUTAGE,8,5.418,36,0.584235,0.413147,0.292841,0.292841,2.3427,1.1292,9.3899,weibull,,fleet,1.0,True
Time Warner Cable - Knowles,BOS_INTERMITTENT,5,7.587,12,0.35089,0.2913,0.169827,0.169827,0.8491,1.3211,7.3259,weibull,,fleet,1.0,True
Time Warner Cable - Knowles,BOS_INTERMITTENT,5,7.587,24,0.35089,0.240117,0.315693,0.315693,1.5785,1.3211,7.3259,weibull,,fleet,1.0,True
Time Warner Cable - Knowles,BOS_INTERMITTENT,5,7.587,36,0.35089,0.196627,0.439635,0.439635,2.1982,1.3211,7.3259,weibull,,fleet,1.0,True
Time Warner Cable - Knowles,OUTAGE_FULL,5,7.587,12,0.633609,0.590757,0.067632,0.067632,0.3382,1.153,14.9815,weibull,,fleet,1.0,True
Time Warner Cable - Knowles,OUTAGE_FULL,5,7.587,24,0.633609,0.550108,0.131785,0.131785,0.6589,1.153,14.9815,weibull,,fleet,1.0,True
Time Warner Cable - Knowles,OUTAGE_FULL,5,7.587,36,0.633609,0.511669,0.192453,0.192453,0.9623,1.153,14.9815,weibull,,fleet,1.0,True
Timber Creek HS,BLOCK_OUTAGE,1,12.0,12,0.267372,0.236006,0.117311,0.117311,0.1173,1.1292,9.3899,weibull,,fleet,1.0,True
Timber Creek HS,BLOCK_OUTAGE,1,12.0,24,0.267372,0.20806,0.221831,0.221831,0.2218,1.1292,9.3899,weibull,,fleet,1.0,True
Timber Creek HS,BLOCK_OUTAGE,1,12.0,36,0.267372,0.183209,0.314777,0.314777,0.3148,1.1292,9.3899,weibull,,fleet,1.0,True
Timber Creek HS,OUTAGE_FULL,1,12.0,12,0.461052,0.427799,0.072123,0.072123,0.0721,1.153,14.9815,weibull,,fleet,1.0,True
