site,signature,n_blocks,age_years,horizon_months,R_now,R_future,cond_prob_failure,expected_failures,expected_failures_block_level,beta,eta,distribution,loglik,stratum,credibility_Z,left_truncated
"Yellowbud Solar, LLC",TRACKER,141,2.502,24,0.931196,0.874572,0.060808,0.060808,8.5739,1.0748,29.209,weibull,,fleet,0.5,True
"Yellowbud Solar, LLC",TRACKER,141,2.502,36,0.931196,0.846823,0.090607,0.090607,12.7756,1.0748,29.209,weibull,,fleet,0.5,True
ZPD-PT Solar Project 2017-044 LLC CSG,TRACKER,1,4.167,12,0.88398,0.856076,0.031566,0.031566,0.0316,1.0748,29.209,weibull,,fleet,0.833,True
ZPD-PT Solar Project 2017-044 LLC CSG,TRACKER,1,4.167,24,0.88398,0.828663,0.062578,0.062578,0.0626,1.0748,29.209,weibull,,fleet,0.833,True
ZPD-PT Solar Project 2017-044 LLC CSG,TRACKER,1,4.167,36,0.88398,0.801807,0.092958,0.092958,0.093,1.0748,29.209,weibull,,fleet,0.833,True
Yorktown 2 Solar,SOILING,1,1.916,12,0.942119,0.905585,0.038779,0.038779,0.0388,1.2118,19.6348,weibull,,fleet,0.383,True
Yorktown 2 Solar,SOILING,1,1.916,24,0.942119,0.867828,0.078855,0.078855,0.0789,1.2118,19.6348,weibull,,fleet,0.383,True
Yorktown 2 Solar,SOILING,1,1.916,36,0.942119,0.82966,0.119369,0.119369,0.1194,1.2118,19.6348,weibull,,fleet,0.383,True
126 Grove Solar LLC,BLOCK_OUTAGE,1,13.5,12,0.221617,0.195259,0.118935,0.118935,0.1189,1.1292,9.3899,weibull,,fleet,1.0,True
126 Grove Solar LLC,BLOCK_OUTAGE,1,13.5,24,0.221617,0.171841,0.224604,0.224604,0.2246,1.1292,9.3899,weibull,,fleet,1.0,True
126 Grove Solar LLC,BLOCK_OUTAGE,1,13.5,36,0.221617,0.15107,0.31833,0.31833,0.3183,1.1292,9.3899,weibull,,fleet,1.0,True
126 Grove Solar LLC,BOS_INTERMITTENT,1,13.5,12,0.106191,0.085049,0.199096,0.199096,0.1991,1.3211,7.3259,weibull,,fleet,1.0,True
126 Grove Solar LLC,BOS_INTERMITTENT,1,13.5,24,0.106191,0.067778,0.361735,0.361735,0.3617,1.3211,7.3259,weibull,,fleet,1.0,True
126 Grove Solar LLC,BOS_INTERMITTENT,1,13.5,36,0.106191,0.053758,0.49376,0.49376,0.4938,1.3211,7.3259,weibull,,fleet,1.0,True
126 Grove Solar LLC,OUTAGE_FULL,1,13.5,12,0.411934,0.381723,0.073338,0.073338,0.0733,1.153,14.9815,weibull,,fleet,1.0,True
126 Grove Solar LLC,OUTAGE_FULL,1,13.5,24,0.411934,0.353443,0.141992,0.141992,0.142,1.153,14.9815,weibull,,fleet,1.0,True
126 Grove Solar LLC,OUTAGE_FULL,1,13.5,36,0.411934,0.327007,0.206167,0.206167,0.2062,1.153,14.9815,weibull,,fleet,1.0,True
Yemassee Solar,SOILING,6,4.999,12,0.826497,0.788454,0.04603,0.04603,0.2762,1.2118,19.6348,weibull,,fleet,1.0,True
Yemassee Solar,SOILING,6,4.999,24,0.826497,0.750883,0.091487,0.091487,0.5489,1.2118,19.6348,weibull,,fleet,1.0,True
Yemassee Solar,SOILING,6,4.999,36,0.826497,0.714028,0.13608,0.13608,0.8165,1.2118,19.6348,weibull,,fleet,1.0,True
Yemassee Solar,TRACKER,6,4.999,12,0.860723,0.833222,0.031951,0.031951,0.1917,1.0748,29.209,weibull,,fleet,1.0,True
Yemassee Solar,TRACKER,6,4.999,24,0.860723,0.80627,0.063265,0.063265,0.3796,1.0748,29.209,weibull,,fleet,1.0,True
Yemassee Solar,TRACKER,6,4.999,36,0.860723,0.779912,0.093887,0.093887,0.5633,1.0748,29.209,weibull,,fleet,1.0,True
126 Grove Solar LLC,TRACKER,1,13.5,12,0.646445,0.624319,0.034228,0.034228,0.0342,1.0748,29.209,weibull,,fleet,1.0,True
126 Grove Solar LLC,TRACKER,1,13.5,24,0.646445,0.602841,0.067452,0.067452,0.0675,1.0748,29.209,weibull,,fleet,1.0,True
126 Grove Solar LLC,TRACKER,1,13.5,36,0.646445,0.582004,0.099686,0.099686,0.0997,1.0748,29.209,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",BLOCK_OUTAGE,1,4.999,12,0.612154,0.547179,0.106141,0.106141,0.1061,1.1292,9.3899,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",BLOCK_OUTAGE,1,4.999,24,0.612154,0.487902,0.202975,0.202975,0.203,1.1292,9.3899,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",BLOCK_OUTAGE,1,4.999,36,0.612154,0.434116,0.29084,0.29084,0.2908,1.1292,9.3899,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",OUTAGE_FULL,1,4.999,12,0.754189,0.706014,0.063877,0.063877,0.0639,1.153,14.9815,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",OUTAGE_FULL,1,4.999,24,0.754189,0.659785,0.125174,0.125174,0.1252,1.153,14.9815,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",OUTAGE_FULL,1,4.999,36,0.754189,0.615657,0.183684,0.183684,0.1837,1.153,14.9815,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",SOILING,1,4.999,12,0.826497,0.788454,0.04603,0.04603,0.046,1.2118,19.6348,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",SOILING,1,4.999,24,0.826497,0.750883,0.091487,0.091487,0.0915,1.2118,19.6348,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",SOILING,1,4.999,36,0.826497,0.714028,0.13608,0.13608,0.1361,1.2118,19.6348,weibull,,fleet,1.0,True
12 Applegate Solar LLC,UNATTRIBUTED,6,13.667,12,0.020019,0.014165,0.292389,0.292389,1.7543,1.2,4.3863,weibull,,fleet,1.0,True
12 Applegate Solar LLC,UNATTRIBUTED,6,13.667,24,0.020019,0.009976,0.50166,0.50166,3.01,1.2,4.3863,weibull,,fleet,1.0,True
12 Applegate Solar LLC,UNATTRIBUTED,6,13.667,36,0.020019,0.006994,0.650619,0.650619,3.9037,1.2,4.3863,weibull,,fleet,1.0,True
145 Talmadge Solar,UNATTRIBUTED,5,14.669,12,0.014155,0.009969,0.29575,0.29575,1.4788,1.2,4.3863,weibull,,fleet,1.0,True
145 Talmadge Solar,UNATTRIBUTED,5,14.669,24,0.014155,0.006989,0.506262,0.506262,2.5313,1.2,4.3863,weibull,,fleet,1.0,True
145 Talmadge Solar,UNATTRIBUTED,5,14.669,36,0.014155,0.004879,0.65533,0.65533,3.2767,1.2,4.3863,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",TRACKER,1,4.999,12,0.860723,0.833222,0.031951,0.031951,0.032,1.0748,29.209,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",TRACKER,1,4.999,24,0.860723,0.80627,0.063265,0.063265,0.0633,1.0748,29.209,weibull,,fleet,1.0,True
"13 Mile Solar, LLC",TRACKER,1,4.999,36,0.860723,0.779912,0.093887,0.093887,0.0939,1.0748,29.209,weibull,,fleet,1.0,True
180 Raritan Solar,BOS_INTERMITTENT,1,13.5,12,0.106191,0.085049,0.199096,0.199096,0.1991,1.3211,7.3259,weibull,,fleet,1.0,True
180 Raritan Solar,BOS_INTERMITTENT,1,13.5,24,0.106191,0.067778,0.361735,0.361735,0.3617,1.3211,7.3259,weibull,,fleet,1.0,True
180 Raritan Solar,BOS_INTERMITTENT,1,13.5,36,0.106191,0.053758,0.49376,0.49376,0.4938,1.3211,7.3259,weibull,,fleet,1.0,True
180 Raritan Solar,OUTAGE_FULL,1,13.5,12,0.411934,0.381723,0.073338,0.073338,0.0733,1.153,14.9815,weibull,,fleet,1.0,True
180 Raritan Solar,OUTAGE_FULL,1,13.5,24,0.411934,0.353443,0.141992,0.141992,0.142,1.153,14.9815,weibull,,fleet,1.0,True
180 Raritan Solar,OUTAGE_FULL,1,13.5,36,0.411934,0.327007,0.206167,0.206167,0.2062,1.153,14.9815,weibull,,fleet,1.0,True
154 D Fisher,BLOCK_OUTAGE,1,10.001,12,0.341695,0.30245,0.114854,0.114854,0.1149,1.1292,9.3899,weibull,,fleet,0.983,True
154 D Fisher,BLOCK_OUTAGE,1,10.001,24,0.341695,0.267326,0.217647,0.217647,0.2176,1.1292,9.3899,weibull,,fleet,0.983,True
154 D Fisher,BLOCK_OUTAGE,1,10.001,36,0.341695,0.235966,0.309426,0.309426,0.3094,1.1292,9.3899,weibull,,fleet,0.983,True
154 D Fisher,BOS_INTERMITTENT,1,10.001,12,0.221189,0.180656,0.183251,0.183251,0.1833,1.3211,7.3259,weibull,,fleet,0.983,True
154 D Fisher,BOS_INTERMITTENT,1,10.001,24,0.221189,0.146668,0.336913,0.336913,0.3369,1.3211,7.3259,weibull,,fleet,0.983,True
