plant_id,plant_name,customer,is_ssi_customer,state,ba,tech,mw,original_cod,bop_age,C1,C2,C3,C4,C5,C6,C7,BPRI,bpri_confidence,tier,exposure_composite,evidence_led,exposure_led,evidence_imputed,cooling_signal_pct,cooling_trend_pct_per_yr,summer_penalty_pct,summer_gap_to_envelope_pct,cooling_flag_years,c2_years,starts_per_MW_yr,cum_starts_est,trip_rate,cold_start_share,ramp_p95,lf_cv,low_lf_share,interruptible,c3_source,has_cems,heat_input_ratio,recoverable_usd,dominant_signature,suggested_scope,chp_cohort,climate_region,size_band
1184,Sibley One,City of Sibley - (IA),False,IA,MISO,IC,5.2,1971.0,54.0,,50.0,88.72769151302404,,,87.23076923076924,,69.06446130006105,low,EXPOSED,88.12892260012211,False,True,True,,,,,0.0,0.0,,,,,,0.7817996012680085,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
50831,Nove Power Plant,Nove Investments I LLC,False,CA,CISO,IC,3.0,1985.0,40.0,,50.0,81.98529411764707,,,97.24137931034483,,69.04386409736308,low,EXPOSED,88.08772819472617,False,True,True,,,,,0.0,0.0,,,,,,0.5995833285542038,1.0,,proxy (LF variance),False,,0.0,ANNUAL_ONLY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,coastal,0.0
58157,University of Rochester,Institutional Self-Generation (various),False,NY,NYIS,ST,25.4,2005.0,20.0,50.0,100.0,82.75862068965517,,,28.000000000000004,,69.01724137931035,low,LIKELY,60.855172413793106,True,False,True,,,,,0.0,2.0,,,,,,0.5740820353938746,0.45121951219512196,,proxy (LF variance),False,,0.0,UNATTRIBUTED,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,True,industrial,0.0
2975,Cushing,City of Cushing - (OK),False,OK,SWPP,IC,24.6,1936.0,89.0,,50.0,79.99837715027589,,,100.0,,68.99951314508277,low,EXPOSED,87.99902629016553,False,True,True,,,,,0.0,0.0,,,,,,1.0872232351613011,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,1.0
50799,Parlin Power Plant,"EFS Parlin Holdings, LLC",False,NJ,PJM,CC,135.0,1991.0,34.0,50.0,84.84848484848484,92.55319148936171,,,51.041666666666664,,68.99908325274016,low,LIKELY,75.94858156028369,True,False,True,,,,,0.0,2.0,,,,,,1.0617888840406484,1.0,,proxy (LF variance),False,,0.0,UNATTRIBUTED,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,False,coastal,0.0
54477,"Oroville Cogeneration, LLC",Apex Power Generation Corp.,False,CA,CISO,IC,7.699999999999999,1990.0,35.0,,50.0,90.03062310911525,,,84.92307692307692,,68.99380231734996,low,EXPOSED,87.98760463469992,False,True,True,,,,,0.0,0.0,,,,,,0.9145140887323122,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",True,inland,0.0
2494,Gowanus Gas Turbines Generating,"Astoria Generating Company, L.P.",False,NY,NYIS,GT,320.0,1971.0,54.0,,50.0,96.50537634408602,,,91.75257731958763,35.714285714285715,68.97596085324719,low,EXPOSED,84.7892615642865,False,True,True,,,,,0.0,0.0,,,,,,1.7819074064050993,1.0,0.0,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,coastal,0.0
50316,Bunge North America East LLC,Bunge North America East LLC,False,IN,PJM,ST,2.0,1950.0,75.0,50.0,91.66666666666666,58.189655172413794,,,85.2,,68.95639367816092,low,LIKELY,68.99379310344828,True,False,True,,,,,0.0,4.0,,,,,,0.36079188205933777,0.06493506493506493,,proxy (LF variance),False,,0.0,UNATTRIBUTED,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,True,industrial,0.0
1324,Sharon Spring,City of Sharon Springs - (KS),False,KS,SWPP,IC,3.0,1951.0,74.0,,50.0,81.39870128501101,,,97.53846153846155,,68.92730269319561,low,EXPOSED,87.85460538639123,False,True,True,,,,,0.0,0.0,,,,,,0.39858972429379236,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
4940,Riverside (OK),"American Electric Power Company, Inc.",True,OK,SWPP,ST,946.0,1974.0,51.0,100.0,90.9090909090909,13.88888888888889,77.77777777777779,16.666666666666664,26.0,56.00000000000001,68.82171717171717,high,CONFIRMED,35.76543209876544,True,False,False,3.1117062150857437,1.3520190786760558,3.1117062150857437,9.4599553808847,1.0,7.0,0.0,0.0,1.7930787161556392,,0.21668490153172862,1.06535721965073,0.75,0.018220238095238095,CEMS,True,1.075426167891708,421934.79462422617,UNATTRIBUTED,Condenser performance test + circulating-water flow verification + circ-water pump vibration survey,False,inland,3.0
1265,Burlingame,City of Burlingame - (KS),False,KS,SWPP,IC,4.0,1963.0,62.0,,50.0,85.95896187133025,,,89.84615384615384,,68.75691933062984,low,EXPOSED,87.51383866125968,False,True,True,,,,,0.0,0.0,,,,,,0.5979672236361288,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
3469,T H Wharton,NRG Energy Group,False,TX,ERCO,GT,526.3,1967.0,58.0,,67.3913043478261,58.13953488372093,84.49612403100775,56.58914728682171,99.32432432432432,26.041666666666668,68.68905978960328,high,LOW,69.41003503503504,False,False,False,-0.5055329312675022,0.10676231246338316,-0.5055329312675022,25.362036929886077,0.0,4.0,0.6365190955728672,19430.0,133.243304073824,0.44328358208955226,0.5389150943396225,1.0637619808345142,0.9487179487179487,0.0,CEMS,True,0.9938727728237132,0.0,BOP_INTERMITTENT,No action,False,inland,2.0
58057,Molson Coors Shenandoah Brewery,Molson Coors Shenandoah Brewery,False,VA,PJM,GT,1.4,2012.0,13.0,,84.61538461538461,72.87234042553192,,,22.5,,68.66939443535188,low,LOW,52.723404255319146,True,False,False,-4.369400929111925,0.28744790288041705,-4.369400929111925,-16.65697251367003,0.0,3.0,,,,,,0.372429498173634,0.0625,,proxy (LF variance),False,,0.0,UNATTRIBUTED,No action,False,industrial,0.0
3576,Ray Olinger,Municipal / Public Utility (various),False,TX,ERCO,GT,82.7,2001.0,24.0,,97.82608695652173,15.891472868217054,75.96899224806202,94.57364341085271,44.932432432432435,88.02083333333334,68.6572985351739,high,LOW,52.45241607886957,True,False,False,-0.21094033464483242,,-0.21094033464483242,21.284241213287125,0.0,2.0,0.49576783555018133,984.0,94.03669724770643,0.5609756097560976,0.7607361963190185,0.753901306817641,1.0,1.0,CEMS,True,0.9220265670527834,0.0,UNATTRIBUTED,No action,False,inland,2.0
55041,Berkshire Power,Berkshire Power Co LLC,False,MA,ISNE,CC,289.0,1999.0,26.0,45.52238805970149,86.76470588235294,69.53125,71.875,92.1875,93.38235294117648,34.55882352941176,68.64063185908692,high,LIKELY,73.98386437908498,True,False,False,1.095454969553683,-0.13924745925314244,1.095454969553683,4.6714232550338295,3.0,6.0,0.10553633217993079,793.0,2.6678523788350375,0.01639344262295082,0.2673076923076923,0.8722998941257157,0.4444444444444444,0.0,CEMS,True,0.9945857983757751,0.0,UNATTRIBUTED,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,False,inland,3.0
